date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
3/4/2021,2021,UCSB,0,0,UCSD,UCSB,,,,,,,,,,,,
3/5/2021,2021,USC,0,0,BYU,USC,,,,,,,,,,,,
3/5/2021,2021,UCLA,0,0,Stanford,UCLA,,,,,,,,,,,,
3/5/2021,2021,GMU,0,0,NJIT,GMU,,,,,,,,,,,,
3/5/2021,2021,Lewis,0,0,Ball,Lewis,,,,,,,,,,,,
3/5/2021,2021,Penn,0,0,Charleston,Penn,,,,,,,,,,,,
3/5/2021,2021,SFU,0,0,Sacred,SFU,,,,,,,,,,,,
3/6/2021,2021,UCLA,0,0,Stanford,UCLA,,,,,,,,,,,,
3/6/2021,2021,GMU,0,0,NJIT,GMU,,,,,,,,,,,,
3/6/2021,2021,USC,0,0,Concordia,USC,,,,,,,,,,,,
3/6/2021,2021,Lewis,0,0,Ball,Lewis,,,,,,,,,,,,
3/6/2021,2021,Penn,0,0,Charleston,Penn,,,,,,,,,,,,
3/6/2021,2021,SFU,0,0,Sacred,SFU,,,,,,,,,,,,
3/10/2021,2021,SFCB,0,0,Sacred,SFCB,,,,,,,Double header,,,,,
3/10/2021,2021,SFCB,0,0,Sacred,SFCB,,,,,,,,,,,,
3/11/2021,2021,UCSB,0,0,UH,UCSB,,,,,,,,,,,,
3/11/2021,2021,UCLA,0,0,Pepperdine,UCLA,,,,,,,,,,,,
3/11/2021,2021,UCI,0,0,UCSD,UCI,,,,,,,,,,,,
3/11/2021,2021,Concordia,0,0,USC,Concordia,,,,,,,,,,,,
3/11/2021,2021,Ohio,0,0,Ball,Ohio,,,,,,,,,,,,
3/12/2021,2021,UCSB,0,0,UH,UCSB,,,,,,,,,,,,
3/12/2021,2021,BYU,0,0,Stanford,BYU,,,,,,,,,,,,
3/12/2021,2021,UCSD,0,0,UCI,UCSD,,,,,,,,,,,,
3/12/2021,2021,Sacred,0,0,NJIT,Sacred,,,,,,,,,,,,
3/12/2021,2021,Charleston,0,0,GMU,Charleston,,,,,,,,,,,,
3/12/2021,2021,SFU,0,0,Penn,SFU,,,,,,,,,,,,
3/13/2021,2021,UCSB,0,0,UH,UCSB,,,,,,,,,,,,
3/13/2021,2021,BYU,0,0,Stanford,BYU,,,,,,,,,,,,
3/13/2021,2021,Pepperdine,0,0,UCLA,Pepperdine,,,,,,,,,,,,
3/13/2021,2021,Sacred,0,0,NJIT,Sacred,,,,,,,,,,,,
3/13/2021,2021,USC,0,0,Concordia,USC,,,,,,,,,,,,
3/13/2021,2021,Charleston,0,0,GMU,Charleston,,,,,,,,,,,,
3/13/2021,2021,SFU,0,0,Penn,SFU,,,,,,,,,,,,
3/17/2021,2021,GCU,0,0,USC,GCU,,,,,,,,,,,,
3/19/2021,2021,Pepperdine,0,0,BYU,Pepperdine,,,,,,,,,,,,
3/19/2021,2021,NJIT,0,0,Penn,NJIT,,,,,,,,,,,,
3/19/2021,2021,Stanford,0,0,GCU,Stanford,,,,,,,,,,,,
3/19/2021,2021,Quincy,0,0,Ball,Quincy,,,,,,,,,,,,
3/19/2021,2021,Charleston,0,0,SFU,Charleston,,,,,,,,,,,,
3/19/2021,2021,GMU,0,0,Sacred,GMU,,,,,,,,,,,,
