date,season,home,p,t1,t2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1,2022,UCLA,6v7,Princeton,Greenville,,,,,,,,
2,2022,UCLA,4v5,UCLA,Pepperdine,,,,,,,,
3,2022,UCLA,3v6/7,Hawaii,Greenville,,,,,,,,
4,2022,UCLA,2v3/6/7,Ball,Hawaii,,,,,,,,
5,2022,UCLA,1v4/5,LBSU,UCLA,,,,,,,,
6,2022,UCLA,2/3/6/7v1/4/5,,,,,,,,,,
