short_name,full_name,division,mascot,conference,elo,location,eligible,twitter,color
Adrian,Adrian College,D-III,Bulldogs,D-III,1500,"41.897785701653525, -84.06378176498569",0,,
Alderson,Alderson Broaddus University,D-II,Battlers,Independent,1500,"39.15707821033467, -80.05158937406792",1,@ABUmvb,
Alvernia,Alvernia University,D-III,Crusaders,D-III,1500,"40.308195482372284, -75.93609804774519",0,@AlverniaMVB,
Ambrose,Saint Ambrose University (Iowa),NAIA,Fighting Bees,NAIA,1500,"41.541422428054254, -90.58036660471811",0,@SAUBEES,#00549D
American,American International College,D-II,Yellow Jackets,Independent,1500,"42.11819653301246, -72.55411909135562",1,@AiCmvb,
Arcadia,Arcadia University,D-III,Knights,D-III,1500,"40.09189512018325, -75.16543497405404",0,,
Augustana,Augustana College (IL),D-III,Vikings,D-III,1500,"41.50707807397814, -90.5507023989337",0,,
Aurora,Aurora University,D-III,Spartans,D-III,1500,"41.754929518874825, -88.35040048173529",0,,
Baldwin,Baldwin Wallace University,D-III,Yellow Jackets,D-III,1500,"41.372090690678, -81.84717580056873",0,,
Ball,Ball State University,D-I,Cardinals,MIVA,1500,"40.207145339682654, -85.4063535970778",1,@BallStateMVB,#ba0c2f
Bard,Bard College,D-III,Raptors,D-III,1500,"42.02378584506257, -73.90786832699553",0,,
Barton,Barton College,D-II,Bulldogs,Carolinas,1500,"35.736908888607566, -77.91135951366927",1,@BartonVB,
Baruch,Baruch College,D-III,Bearcats,D-III,1500,"40.74027091463403, -73.98325759030051",0,,
Belmont,Belmont Abbey College,D-II,Crusaders,Carolinas,1500,"35.260949209445535, -81.04035964259134",1,@AbbeyMVB,#d31145
Benedict,Benedict College,D-II,Tigers,SIAC,1500,"34.01302911507938, -81.0194713390587",1,@benedict_tigers,
Benedictine,Benedictine University,D-III,Eagles,D-III,1500,"41.780501946929036, -88.09615879522768",0,@BenUMensVB,
Bluefield,Bluefield College,NAIA,Rams,NAIA,1500,"37.245950864489764, -81.24445240620705",0,@bstatesports,
Brooklyn,Brooklyn College,D-III,Bulldogs,D-III,1500,"40.63104871616864, -73.9544884311142",0,,
BYU,Brigham Young University,D-I,Cougars,MPSF,1500,"40.24775735793723, -111.65400410316153",1,@BYUvolleyball,#003fa2
Cairn,Cairn University,D-III,Highlanders,D-III,1500,"40.1670948697853, -74.90559171636978",0,,
Cal Lu,California Lutheran University,D-III,Kingsmen,D-III,1500,"34.22633196106771, -118.87807278033313",0,@CLUSports,
Campbellsville,Campbellsville University,NAIA,Tigers,NAIA,1500,"37.343703858580945, -85.35335044938824",0,@CvilleTigersVB,
Carlow,Carlow University,NAIA,Celtics,NAIA,1500,"40.43903130319252, -79.96306475446164",0,@CarlowCeltics,
Carolina,Carolina University,NCCAA,Bruins,NCCAA,1500,"36.087523477474456, -80.24955829665056",0,@carolinaumvb,
Carthage,Carthage College,D-III,Red Men,D-III,1500,"42.6215922229578, -87.82230584629596",0,,
CCNY,City College of New York,D-III,Beavers,D-III,1500,"40.81976412629696, -73.9495302395286",0,,
Central,Central State University,D-II,Marauders,SIAC,1500,"39.715131597362756, -83.87718939929674",1,@GO_MARAUDERS,#6c0b31
Charleston,University of Charleston,D-II,Golden Eagles,EIVA,1500,"38.33334229250818, -81.61707890009181",1,@ucwv_mvball,#61162d
Coker,Coker University,D-II,Cobras,Independent,1500,"34.37528373319098, -80.06614319438705",0,@Coker_Cobras,#233a75
Colby,Colby–Sawyer College,D-III,Chargers,D-III,1500,"43.41183934465652, -71.9754399209063",0,,
Concordia,Concordia University Irvine,D-II,Eagles,MPSF,1500,"33.654125685708344, -117.81056815720085",1,@cuimvolleyball,#0f4d2a
Cornerstone,Cornerstone Univeristy,NAIA,Golden Eagles,NAIA,1500,"42.98216485583985, -85.59340682236592",0,@CornerstoneMVB,#00235d
CSUN,CSU Northridge,D-I,Matadors,Big West,1500,"34.24217382508362, -118.52592070292671",1,@CSUNMensVB,#c8102e
CUC,Concordia University Chicago,D-III,Cougars,D-III,1500,"41.899237012815654, -87.80952090882946",0,,
Culver,Culver–Stockton College,NAIA,Wildcats,NAIA,1500,"40.128468061043186, -91.53302925364306",0,@CSCMensVolley,
Cumberland,Cumberland University,NAIA,Phoenix,NAIA,1500,"36.20324853719004, -86.29933821955521",0,@GoCUPhoenix,#84152C
CUW,Concordia University Wisconsin,D-III,Falcons,D-III,1500,"43.25429597914008, -87.91661537299478",0,,
Daemen,Daemen College,D-II,Wildcats,Independent,1500,"42.964334636072195, -78.78783629673202",1,@DaemenMVB,#013893
Dean,Dean College,D-III,Bulldogs,D-III,1500,"42.08636133425835, -71.39748949045915",0,,
Dominican,Dominican University (IL),D-III,Stars,D-III,1500,"41.903363621408715, -87.82152751845709",0,,
DYouville,D'Youville University,D-II,Saints,Independent,1500,"42.90182578107489, -78.88965269252517",1,@DYouvilleMVB,
Eastern,Eastern University,D-III,Eagles,D-III,1500,"40.050986680102724, -75.37269408034746",0,@EUEagles,
Edgewood,Edgewood College,D-III,Eagles,D-III,1500,"43.05830704392353, -89.42167424499276",0,,
Edward,Edward Waters University,D-II,Tigers,SIAC,1500,"30.34614835020607, -81.68808435799133",1,@EWU_Athletics,#702784
Elizabeth,Saint Elizabeth University,D-III,Eagles,D-III,1500,"40.777375075122734, -74.43415675237851",0,,
Elizabethtown,Elizabethtown College,D-III,Blue Jays,D-III,1500,"40.150819758599084, -76.59062951850991",0,,
Elmira,Elmira College,D-III,Soaring Eagles,D-III,1500,"42.096566184891785, -76.81556739854054",0,@ElmiraMVB,
Elms,College of Our Lady of the Elms,D-III,Blazers,D-III,1500,"42.14173387482781, -72.60017141907629",0,,
Emerson,Emerson College,D-III,Lions,D-III,1500,"42.35224553601047, -71.06582213018211",0,@EmersonVBALL,
Emmanuel,Emmanuel College,D-II,Lions,Carolinas,1500,"34.28232255958307, -83.15283746675586",1,@EC_M_volleyball,
Emmanuel MA,Emmanuel College (MA),D-III,Saints,D-III,1500,"42.34035470893204, -71.10340832812273",0,,
EMU,Eastern Mennonite University,D-III,Royals,D-III,1500,"38.4724731498568, -78.87859418683938",0,@emu_volleyball,
Endicott,Endicott College,D-III,Gulls,D-III,1500,"42.555019322717676, -70.83965869564096",0,@EndicottMVB,
ENU,Eastern Nazarene College,D-III,Lions,D-III,1500,"42.27217678612162, -71.01071405591968",0,@encmvb,#e41309
Erskine,Erskine College,D-II,Flying Fleet,Carolinas,1500,"34.33264844123455, -82.39295012824844",1,@FlyingFleetMVB,
Fairleigh,Fairleigh Dickinson University,D-I,Knights,Independent,1500,"40.896665989152474, -74.03244336140656",1,@FDUKnightsMVB,
First Point,First Point Collegiate Challenge,n/a,n/a,n/a,1500,"30.263653912461567, -97.73966337824726",0,,
Fisher,St. John Fisher College,D-III,Cardinals,D-III,1500,"43.11613765507209, -77.50989152025222",0,@SJFCVB,
Fontbonne,Fontbonne University,D-III,Griffins,D-III,1500,"38.64174360171452, -90.31502244592951",0,@FBUGriffinsMVB,
Fort Valley,Fort Valley State University,D-II,Wildcats,SIAC,1500,"32.533038270782875, -83.89765259686493",1,@FVSUATHLETICS,
GCU,Grand Canyon University,D-I,Antelopes,MPSF,1500,"33.51026623785861, -112.12902999636252",1,@GCU_MVolleyball,#512699
Geneva,Geneva College,D-III,Golden Tornadoes,D-III,1500,"40.77105523710914, -80.32069510818673",0,@GenevaAthletics,#b4975b
Georgetown,Georgetown College (KY),NAIA,Tigers,NAIA,1500,"38.2075905437859, -84.55289270669186",0,@GCAthletics,
GMU,George Mason University,D-I,Patriots,EIVA,1500,"38.83065978140495, -77.3124337809112",1,@GoMasonMVB,#006938
Graceland,Graceland University,NAIA,Yellowjackets,NAIA,1500,"40.61455111800166, -93.9265999300875",0,@GUjackets,#00275c
Grand View,Grand View University,NAIA,Vikings,NAIA,1500,"41.61980219082709, -93.59806643803012",0,@VikingAthletics,
Greenville,North Greenville University,D-II,Crusaders,Carolinas,1500,"35.069533766249734, -82.37309708210283",1,@NGU_MVB,#c00000
Harvard,Harvard University,D-I,Crimson,EIVA,1500,"42.37135182238967, -71.11941108239166",1,@HarvardMVB,#a31f36
Hawaii,University of Hawai'i at Manoa,D-I,Rainbow Warriors,Big West,1500,"21.294609859692425, -157.8183992624992",1,@HawaiiMensVB,#005837
Hilbert,Hilbert College,D-III,Hawks,D-III,1500,"42.75407223484585, -78.81970205433396",0,@HilbertAthletic,
Hiram,Hiram College,D-III,Terriers,D-III,1500,"41.311370096971544, -81.14153368962442",0,,
Hunter,Hunter College,D-III,Hawks,D-III,1500,"40.76777636366904, -73.96455470358497",0,,
IIT,Illinois Institute of Technology,D-III,Scarlet Hawks,D-III,1500,"41.839019206655045, -87.62557170033118",0,,
Immaculata,Immaculata University,D-III,Mighty Macs,D-III,1500,"40.027973552241136, -75.57068390446615",0,,
Indiana Tech,Indiana Institute of Technology,NAIA,Warriors,NAIA,1500,"41.078223061447055, -85.11802161138166",0,@INTechMVB,
IWU,Illinois Wesleyan University,D-III,Titans,D-III,1500,"40.49388795647673, -88.98929385170241",0,,
Jamestown,University of Jamestown,NAIA,Jimmies,NAIA,1500,"46.9150125897768, -98.69405345622302",0,,
John Jay,John Jay College of Criminal Justice,D-III,Bloodhounds,D-III,1500,"40.77035218686202, -73.98835148520904",0,,
Judson,Judson University,NAIA,Eagles,NAIA,1500,"42.06105413456005, -88.28638078225565",0,@JudsonMensVB,#172751
Juniata,Juniata College,D-III,Eagles,D-III,1500,"40.50082601597881, -78.01535329509088",0,,
JWU,Johnson and Wales University (RI),D-III,Wildcats,D-III,1500,"41.78926009829432, -71.39140899103272",0,,
Katherine,University of Saint Katherine,NAIA,Firebirds,NAIA,1500,"33.14459389006438, -117.188980895342",0,@UskMvb,
Kean,Kean University,D-III,Cougars,D-III,1500,"40.68045714398456, -74.23754322953764",0,@KeanMVB,
