date,season,home,p,t1,t2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1,2022,UCLA,2 vs 7,USC,Concordia,,,,,,,,
2,2022,UCLA,3 vs 6,Pepperdine,BYU,,,,,,,,
3,2022,UCLA,4 vs 5,GCU,Stanford,,,,,,,,
4,2022,UCLA,1 vs 4/5/6/7,UCLA,,,,,,,,,
5,2022,UCLA,2/3/4/5/6,,,,,,,,,,
6,2022,UCLA,,,,,,,,,,,
