date,season,home,n,p,t1,t2,r_t1,r_t2,s_t1,s_t2,p_t1,p_t2,s1_t1,s1_t2,s2_t1,s2_t2,s3_t1,s3_t2,s4_t1,s4_t2,s5_t1,s5_t2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1,UCLA,UCLA,,,Hawaii,Greenville,,,,,,,,,,,,,,,,,,,,,,,,
2,UCLA,UCLA,,,Ball,USC,,,,,,,,,,,,,,,,,,,,,,,,
3,UCLA,UCLA,,,Penn,,,,,,,,,,,,,,,,,,,,,,,,,
4,UCLA,UCLA,,,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,
5,UCLA,UCLA,,,LBSU,,,,,,,,,,,,,,,,,,,,,,,,,
6,UCLA,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
