conference,BWC,CC,EIVA,IVA,MIVA,MPSF,NEC,SIAC
BWC,0,0,0,0,0,0,0,0
CC,0,0,0,0,0,0,0,0
EIVA,0,0,0,0,0,0,0,0
IVA,0,0,0,0,0,0,0,0
MIVA,0,0,0,0,0,0,0,0
MPSF,0,0,0,0,0,0,0,0
NEC,0,0,0,0,0,0,0,0
SIAC,0,0,0,0,0,0,0,0
