conference,Big West,Carolinas,EIVA,Independent,MIVA,MPSF,NEC,SIAC
Big West,0,0,0,0,0,0,0,0
Carolinas,0,0,0,0,0,0,0,0
EIVA,0,0,0,0,0,0,0,0
Independent,0,0,0,0,0,0,0,0
MIVA,0,0,0,0,0,0,0,0
MPSF,0,0,0,0,0,0,0,0
NEC,0,0,0,0,0,0,0,0
SIAC,0,0,0,0,0,0,0,0
