date,season,home,p,t1,t2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1,2024,USC,2 vs 7,GCU,Concordia,,,,,,,,
2,2024,USC,3 vs 6,BYU,USC,,,,,,,,
3,2024,USC,4 vs 5,Stanford,Pepperdine,,,,,,,,
4,2024,USC,1 vs 4/5/6/7,UCLA,USC,,,,,,,,
5,2024,USC,2/3/4/5/6,GCU,Stanford,,,,,,,,
6,2024,USC,,,,,,,,,,,
