date,season,home,p,t1,t2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1,2024,Ball,1v8,Ball,Queens,,,,,,,,
2,2024,Lindenwood,4v5,Lindenwood	,PFW,,,,,,,,
3,2024,Ohio,3v6,Ohio,Lewis,,,,,,,,
4,2024,Loyola,2v7,Loyola,McKendree,,,,,,,,
5,2024,Ball,1/8v4/5,Ball,Lindenwood,,,,,,,,
6,2024,Loyola,3/6v2/7,Ohio,Loyola,,,,,,,,
7,2024,,1/4/5/8v2/3/6/7,,,,,,,,,,
