date,season,home,p,t1,t2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1,2024,EWU,3 vs 6,Central,Morehouse,,,,,,,,
2,2024,EWU,4 vs 5,KSU,Benedict,,,,,,,,
3,2024,EWU,2 vs 3/6,EWU,,,,,,,,,
4,2024,EWU,1 vs 4/5,FVSU,,,,,,,,,
5,2024,EWU,1/4/5 vs 2/3/6,,,,,,,,,,
