date,season,home,p,t1,t2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1,2024,LBSU,1v8,UCLA,FVSU,,,,,,,,
2,2024,LBSU,4v5,UCI,Penn,,,,,,,,
3,2024,LBSU,3v6,GCU,Ohio,,,,,,,,
4,2024,LBSU,2v7,LBSU,Belmont,,,,,,,,
5,2024,LBSU,1/8v4/5,UCLA,UCI,,,,,,,,
6,2024,LBSU,3/6v2/7,GCU,LBSU,,,,,,,,
7,2024,LBSU,1/4/5/8v2/3/6/7,,,,,,,,,,
