date,season,home,p,t1,t2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1,2022,Penn,3 vs 6,NJIT,GMU,,,,,,,,
2,2022,Penn,4 vs 5,Princeton,SFU,,,,,,,,
3,2022,Penn,2 vs 3/6,Harvard,NJIT,,,,,,,,
4,2022,Penn,1 vs 4/5,Penn,Princeton,,,,,,,,
5,2022,Penn,1/4/5 vs 2/3/6,Princeton,NJIT,,,,,,,,
