short_name,full_name,division,conference,w,l,sf,sa,sd,pf,pa,pd
Alderson,Alderson Broaddus University,D-II,Independent,4,8,14,28,-14,861,986,-125
American,American International College,D-II,Independent,0,0,0,0,0,0,0,0
Ball,Ball State University,D-I,MIVA,12,8,42,33,9,1713,1637,76
Barton,Barton College,D-II,Carolinas,9,10,35,38,-3,1642,1673,-31
Belmont,Belmont Abbey College,D-II,Carolinas,15,8,51,37,14,2023,1968,55
Benedict,Benedict College,D-II,SIAC,0,0,0,0,0,0,0,0
BYU,Brigham Young University,D-I,MPSF,20,4,62,19,43,1993,1668,325
Central,Central State University,D-II,SIAC,0,0,0,0,0,0,0,0
Charleston,University of Charleston,D-II,EIVA,4,13,20,42,-22,1276,1449,-173
Concordia,Concordia University Irvine,D-II,MPSF,3,14,16,46,-30,1285,1466,-181
CSUN,CSU Northridge,D-I,Big West,2,9,11,30,-19,853,968,-115
Daemen,Daemen College,D-II,Independent,10,0,30,6,24,884,633,251
DYouville,D'Youville College,D-II,Independent,3,5,11,15,-4,544,593,-49
Edward,Edward Waters University,D-II,SIAC,0,0,0,0,0,0,0,0
Emmanuel,Emmanuel College,D-II,Carolinas,10,14,41,49,-8,1978,2031,-53
Erskine,Erskine College,D-II,Carolinas,9,15,35,53,-18,1889,1946,-57
Fairleigh,Fairleigh Dickinson University,D-I,Independent,0,0,0,0,0,0,0,0
Fort Valley,Fort Valley State University,D-II,SIAC,0,0,0,0,0,0,0,0
GCU,Grand Canyon University,D-I,MPSF,9,11,35,37,-2,1632,1676,-44
GMU,George Mason University,D-I,EIVA,15,7,49,30,19,1845,1734,111
Greenville,North Greenville University,D-II,Carolinas,13,5,47,19,28,1569,1377,192
Harvard,Harvard University,D-I,EIVA,0,0,0,0,0,0,0,0
Hawaii,University of Hawai'i at Manoa,D-I,Big West,17,1,53,12,41,1579,1307,272
King,King University,D-II,Carolinas,12,13,45,46,-1,2034,2062,-28
KSU,Kentucky State University,D-II,SIAC,0,0,0,0,0,0,0,0
LBSU,Long Beach State,D-I,Big West,7,5,28,19,9,1064,1025,39
Lees,Lees–McRae College,D-II,Carolinas,2,19,15,60,-45,1458,1830,-372
Lewis,Lewis University,D-II,MIVA,21,3,66,17,49,1997,1715,282
Limestone,Limestone University,D-II,Independent,12,11,46,42,4,1992,1967,25
Lindenwood,Lindenwood University,D-II,MIVA,5,13,20,45,-25,1386,1497,-111
LIU,Long Island University,D-I,Independent,0,0,0,0,0,0,0,0
LMU,Lincoln Memorial University,D-II,Independent,13,8,42,31,11,1665,1587,78
Loyola,Loyola University Chicago,D-I,MIVA,15,6,50,28,22,1807,1684,123
Maryville,Maryville University,D-II,Independent,0,0,0,0,0,0,0,0
McKendree,McKendree University,D-II,MIVA,11,6,38,25,13,1464,1356,108
Morehouse,Morehouse College,D-II,SIAC,0,0,0,0,0,0,0,0
NJIT,New Jersey Institute of Technology,D-I,EIVA,13,6,42,23,19,1517,1350,167
Ohio,The Ohio State University,D-I,MIVA,9,10,35,36,-1,1585,1595,-10
Olive,University of Mount Olive,D-II,Carolinas,13,4,43,26,17,1600,1483,117
Penn,Pennsylvania State University,D-I,EIVA,22,4,68,18,50,2080,1705,375
Pepperdine,Pepperdine University,D-I,MPSF,13,7,44,28,16,1633,1624,9
PFW,Purdue University Fort Wayne,D-I,MIVA,6,9,28,32,-4,1354,1378,-24
Princeton,Princeton University,D-I,EIVA,0,0,0,0,0,0,0,0
Queens,Queens University of Charlotte,D-II,Independent,14,12,53,49,4,2301,2168,133
Quincy,Quincy University,D-II,MIVA,7,13,25,43,-18,1412,1541,-129
Sacred,Sacred Heart University,D-I,EIVA,1,19,10,58,-48,1344,1659,-315
SFCB,St. Francis College (Brooklyn),D-I,EIVA,3,3,12,12,0,506,543,-37
SFU,Saint Francis University (PA),D-I,EIVA,8,19,40,63,-23,2191,2333,-142
Stanford,Stanford University,D-I,MPSF,3,14,16,45,-29,1251,1483,-232
Tusculum,Tusculum University,D-II,Independent,5,13,24,41,-17,1375,1482,-107
UCI,UC Irvine,D-I,Big West,2,14,17,45,-28,1242,1459,-217
UCLA,UCLA,D-I,MPSF,15,6,49,31,18,1898,1748,150
UCSB,UC Santa Barbara,D-I,Big West,16,5,50,24,26,1748,1578,170
UCSD,UC San Diego,D-I,Big West,5,13,22,46,-24,1460,1586,-126
USC,University of Southern California,D-I,MPSF,5,13,23,42,-19,1481,1515,-34
