short_name,full_name,division,conference,elo,games,wins,losses,win_pct,conf_wins,conf_losses,conf_pct,home_wins,home_losses,home_pct,away_wins,away_losses,away_pct,sets_won,sets_lost,set_diff,points_won,points_lost,point_diff,soo,sos,cinco_wins,cinco_losses,cinco_pct,points_game,points_set
AIC,American International,D-II,ECC,1362.54,11,2,9,0.182,0,0,0.000,2,3,0.400,0,5,0.000,8,30,-22,696,902,-206,17955.23162336855,1632.29,1,0,1.000,-18.73,-5.42
Ball,Ball State,D-I,MIVA,2143.86,15,10,5,0.667,3,2,0.600,8,3,0.727,2,2,0.500,38,18,20,1282,1095,187,28679.548935176623,1911.97,1,4,0.200,12.47,3.34
Barry,Barry,D-II,IVA,1535.6,15,5,10,0.333,0,0,0.000,4,1,0.800,1,8,0.111,21,33,-12,1110,1241,-131,25797.29017136689,1719.82,1,1,0.500,-8.73,-2.43
Barton,Barton,D-II,CC,1807.5,15,8,7,0.533,3,1,0.750,3,1,0.750,1,6,0.143,27,25,2,1150,1127,23,25999.719834610303,1733.31,1,1,0.500,1.53,0.44
Belmont,Belmont Abbey,D-II,CC,2035.15,13,7,6,0.538,5,1,0.833,3,4,0.429,3,0,1.000,22,20,2,926,924,2,24808.20577108379,1908.32,0,0,0,0.15,0.05
Benedict,Benedict,D-II,SIAC,1455.63,6,3,3,0.500,0,1,0.000,0,0,0,1,3,0.250,10,9,1,400,385,15,8884.88110036833,1480.81,0,0,0,2.5,0.79
BYU,BYU,D-I,MPSF,2220.34,16,12,4,0.750,2,0,1.000,6,2,0.750,6,2,0.750,41,22,19,1434,1261,173,31468.55038477878,1966.78,3,2,0.600,10.81,2.75
Catawba,Catawba,D-II,IVA,1656.49,14,6,8,0.429,0,0,0.000,3,3,0.500,3,5,0.375,22,27,-5,1025,1112,-87,25390.645293533766,1813.62,1,0,1.000,-6.21,-1.78
Central,Central State,D-II,SIAC,1509.46,10,1,9,0.100,0,0,0.000,0,2,0.000,1,7,0.125,7,27,-20,671,834,-163,17307.68116459866,1730.77,0,1,0.000,-16.3,-4.79
Charleston,Charleston,D-II,EIVA,1925.45,13,6,7,0.462,3,1,0.750,4,3,0.571,2,4,0.333,23,23,0,1033,1004,29,24184.555629423718,1860.35,0,1,0.000,2.23,0.63
Concordia,Concordia,D-II,MPSF,1708.72,14,4,10,0.286,0,2,0.000,4,8,0.333,0,2,0.000,20,33,-13,1130,1223,-93,27065.966702591006,1933.28,1,1,0.500,-6.64,-1.75
CSUN,CSU Northridge,D-I,BWC,2181.78,13,11,2,0.846,0,0,0.000,5,2,0.714,2,0,1.000,35,12,23,1113,974,139,24681.065112899545,1898.54,0,0,0,10.69,2.96
Daemen,Daemen,D-II,NEC,2014.7,10,7,3,0.700,0,0,0.000,4,0,1.000,2,3,0.400,22,12,10,781,718,63,16590.11378734248,1659.01,0,0,0,6.3,1.85
Dominican,Dominican,D-II,ECC,1574.22,14,2,12,0.143,0,0,0.000,1,3,0.250,1,9,0.100,9,38,-29,900,1144,-244,26472.10045921598,1890.86,1,1,0.500,-17.43,-5.19
DYouville,D'Youville,D-II,NEC,1640.13,7,2,5,0.286,0,0,0.000,2,1,0.667,0,4,0.000,7,17,-10,471,558,-87,12163.199151447883,1737.6,1,0,1.000,-12.43,-3.62
Emmanuel,Emmanuel,D-II,CC,1514.58,14,1,13,0.071,0,4,0.000,1,2,0.333,0,9,0.000,7,40,-33,885,1144,-259,24441.003131931684,1745.79,0,1,0.000,-18.5,-5.51
Erskine,Erskine,D-II,CC,1747.6,12,6,6,0.500,2,2,0.500,2,4,0.333,4,2,0.667,20,19,1,895,805,90,19367.31560028767,1613.94,0,1,0.000,7.5,2.31
EWU,Edward Waters,D-II,SIAC,1426.36,9,0,9,0.000,0,0,0.000,0,2,0.000,0,6,0.000,7,27,-20,659,807,-148,14921.353669946293,1657.93,0,1,0.000,-16.44,-4.35
FDU,Fairleigh Dickinson,D-I,NEC,1819.08,9,5,4,0.556,0,0,0.000,4,2,0.667,1,2,0.333,18,15,3,745,696,49,15278.798155516708,1697.64,0,1,0.000,5.44,1.48
FVSU,Fort Valley State,D-II,SIAC,1795.74,13,5,8,0.385,1,0,1.000,3,2,0.600,1,3,0.250,17,26,-9,920,946,-26,24834.99590987697,1910.38,1,0,1.000,-2.0,-0.6
GCU,Grand Canyon,D-I,MPSF,2318.34,12,9,3,0.750,0,0,0.000,5,1,0.833,2,2,0.500,28,17,11,1027,956,71,24515.15567645734,2042.93,2,0,1.000,5.92,1.58
GMU,George Mason,D-I,EIVA,2076.48,13,8,5,0.615,2,1,0.667,7,1,0.875,1,4,0.200,28,18,10,1057,1014,43,24563.40815068828,1889.49,0,1,0.000,3.31,0.93
Harvard,Harvard,D-I,EIVA,1950.95,10,5,5,0.500,3,1,0.750,5,3,0.625,0,2,0.000,19,15,4,766,733,33,19800.275667149745,1980.03,0,2,0.000,3.3,0.97
Hawaii,Hawai'i,D-I,BWC,2363.86,14,13,1,0.929,0,0,0.000,7,1,0.875,6,0,1.000,40,14,26,1291,1098,193,27835.728607376295,1988.27,3,0,1.000,13.79,3.57
Jessup,Jessup,D-II,IND,1509.42,7,4,3,0.571,0,0,0.000,1,1,0.500,3,2,0.600,13,13,0,575,590,-15,10626.032916439632,1518.0,0,0,0,-2.14,-0.58
King,King,D-II,CC,1549.89,13,1,12,0.077,1,5,0.167,1,5,0.167,0,7,0.000,6,37,-31,846,1042,-196,22756.61448238789,1750.51,0,1,0.000,-15.08,-4.56
KSU,Kentucky State,D-II,SIAC,1298.7,4,0,4,0.000,0,0,0.000,0,0,0,0,1,0.000,1,12,-11,223,321,-98,5538.0,1384.5,0,0,0,-24.5,-7.54
LBSU,Long Beach,D-I,BWC,2542.59,14,14,0,1.000,0,0,0.000,7,0,1.000,5,0,1.000,42,4,38,1126,845,281,28039.267631391613,2002.8,1,0,1.000,20.07,6.11
Lees,Lees-McRae,D-II,CC,1535.75,14,2,12,0.143,2,4,0.333,1,4,0.200,1,7,0.125,10,40,-30,931,1196,-265,25485.896174633486,1820.42,2,1,0.667,-18.93,-5.3
Lewis,Lewis,D-II,MIVA,2158.45,15,11,4,0.733,4,2,0.667,9,2,0.818,2,2,0.500,36,22,14,1322,1213,109,29098.739512289445,1939.92,4,0,1.000,7.27,1.88
Lindenwood,Lindenwood,D-I,MIVA,1975.35,11,3,8,0.273,0,5,0.000,3,4,0.429,0,3,0.000,16,25,-9,908,949,-41,22057.109084503794,2005.19,0,1,0.000,-3.73,-1.0
LIU,Long Island,D-I,NEC,1920.54,11,8,3,0.727,0,0,0.000,4,2,0.667,3,1,0.750,28,15,13,997,912,85,18518.67310923519,1683.52,1,2,0.333,7.73,1.98
LMO,LeMoyne-Owen,D-II,SIAC,1390.58,2,0,2,0.000,0,0,0.000,0,1,0.000,0,1,0.000,0,6,-6,72,150,-78,3119.656344397177,1559.83,0,0,0,-39.0,-13.0
LMU,Lincoln Memorial,D-II,IVA,2233.17,12,11,1,0.917,1,0,1.000,4,0,1.000,6,1,0.857,33,12,21,1085,900,185,22144.142792900762,1845.35,2,0,1.000,15.42,4.11
Loyola,Loyola Chicago,D-I,MIVA,2284.84,14,13,1,0.929,5,1,0.833,9,0,1.000,4,1,0.800,41,12,29,1268,1057,211,26981.735284411105,1927.27,2,1,0.667,15.07,3.98
Maryville,Maryville,D-II,IVA,1862.33,10,5,5,0.500,2,0,1.000,3,0,1.000,2,5,0.286,17,19,-2,807,821,-14,17867.13125377152,1786.71,1,0,1.000,-1.4,-0.39
McKendree,McKendree,D-II,MIVA,2193.01,13,8,5,0.615,5,1,0.833,6,1,0.857,2,4,0.333,25,25,0,1125,1139,-14,26902.787183505458,2069.45,4,0,1.000,-1.08,-0.28
Menlo,Menlo,D-II,MPSF,1476.18,10,5,5,0.500,0,0,0.000,5,1,0.833,0,2,0.000,19,17,2,810,779,31,16013.909100707366,1601.39,0,0,0,3.1,0.86
Merrimack,Merrimack,D-I,IND,1754.38,7,4,3,0.571,0,0,0.000,2,0,1.000,2,3,0.400,13,10,3,527,475,52,10960.517092660688,1565.79,0,0,0,7.43,2.26
Morehouse,Morehouse,D-II,SIAC,1152.51,2,0,2,0.000,0,0,0.000,0,1,0.000,0,1,0.000,0,6,-6,114,151,-37,2746.0,1373.0,0,0,0,-18.5,-6.17
MST,Missouri S&T,D-II,IVA,1765.85,12,5,7,0.417,1,0,1.000,1,1,0.500,2,4,0.333,15,22,-7,788,832,-44,21472.37579478912,1789.36,0,0,0,-3.67,-1.19
NGU,North Greenville,D-II,CC,1836.4,9,4,5,0.444,3,3,0.500,1,5,0.167,3,0,1.000,14,19,-5,742,753,-11,15911.918675096818,1767.99,1,0,1.000,-1.22,-0.33
NJIT,NJIT,D-I,EIVA,2019.76,11,7,4,0.636,2,2,0.500,6,4,0.600,1,0,1.000,25,16,9,937,879,58,21980.585886468587,1998.24,2,0,1.000,5.27,1.41
Ohio,Ohio State,D-I,MIVA,2176.26,13,6,7,0.462,3,2,0.600,3,5,0.375,2,1,0.667,24,24,0,1087,1097,-10,27284.41778330829,2098.8,0,0,0,-0.77,-0.21
Penn,Penn State,D-I,EIVA,2187.17,12,4,8,0.333,2,2,0.500,1,0,1.000,2,4,0.333,15,25,-10,892,968,-76,25112.713373713745,2092.73,0,0,0,-6.33,-1.9
Pepperdine,Pepperdine ,D-I,MPSF,2090.76,11,8,3,0.727,0,0,0.000,7,3,0.700,1,0,1.000,29,9,20,886,680,206,21165.71246516449,1924.16,0,2,0.000,18.73,5.42
PFW,Purdue Fort Wayne,D-I,MIVA,2006.91,13,6,7,0.462,1,5,0.167,4,2,0.667,1,4,0.200,23,25,-2,1076,1094,-18,25317.770069632883,1947.52,1,2,0.333,-1.38,-0.38
Princeton,Princeton,D-I,EIVA,2031.43,10,5,5,0.500,2,1,0.667,3,1,0.750,2,4,0.333,18,19,-1,832,814,18,20087.76917119224,2008.78,1,0,1.000,1.8,0.49
Queens,Queens,D-I,MIVA,1913.82,16,9,7,0.562,2,2,0.500,7,3,0.700,2,4,0.333,33,28,5,1376,1346,30,30369.56511374191,1898.1,1,1,0.500,1.88,0.49
Quincy,Quincy,D-II,MIVA,1737.38,14,6,8,0.429,1,4,0.200,2,3,0.400,4,5,0.444,25,26,-1,1151,1109,42,25214.17784838697,1801.01,0,1,0.000,3.0,0.82
Rockhurst,Rockhurst,D-II,IVA,1616.9,16,7,9,0.438,1,2,0.333,3,2,0.600,2,5,0.286,29,31,-2,1350,1303,47,28215.10640002773,1763.44,0,2,0.000,2.94,0.78
Roosevelt,Roosevelt University,D-II,IVA,1365.67,9,1,8,0.111,0,2,0.000,1,2,0.333,0,3,0.000,7,26,-19,640,794,-154,14396.447881135178,1599.61,1,0,1.000,-17.11,-4.67
RWU,Roberts Wesleyan,D-II,ECC,1629.59,14,6,8,0.429,0,1,0.000,3,0,1.000,3,8,0.273,21,28,-7,1066,1127,-61,23906.097941359913,1707.58,1,0,1.000,-4.36,-1.24
SFU,Saint Francis,D-I,NEC,1900.71,13,2,11,0.154,0,0,0.000,1,1,0.500,0,6,0.000,12,35,-23,975,1118,-143,25909.995661059074,1993.08,0,3,0.000,-11.0,-3.04
SHU,Sacred Heart,D-I,EIVA,1724.26,10,3,7,0.300,0,6,0.000,2,3,0.400,1,4,0.200,12,23,-11,729,794,-65,18098.25239401195,1809.83,1,0,1.000,-6.5,-1.86
STA,St. Thomas Aquinas,D-II,ECC,1818.08,13,7,6,0.538,1,0,1.000,6,1,0.857,1,4,0.200,22,22,0,945,964,-19,24151.683706706794,1857.82,1,0,1.000,-1.46,-0.43
Stanford,Stanford,D-I,MPSF,2146.64,11,6,5,0.545,2,0,1.000,1,4,0.200,3,1,0.750,22,18,4,938,914,24,22277.562000566904,2025.23,0,2,0.000,2.18,0.6
Thomas More,Thomas More,D-II,IVA,1667.99,6,3,3,0.500,0,0,0.000,2,3,0.400,1,0,1.000,12,10,2,488,474,14,8613.57805179691,1435.6,0,1,0.000,2.33,0.64
Tusculum,Tusculum,D-II,IVA,1850.44,14,6,8,0.429,0,1,0.000,3,0,1.000,3,5,0.375,20,27,-7,984,1084,-100,26067.065473403505,1861.93,0,0,0,-7.14,-2.13
UCI,UC Irvine,D-I,BWC,2365.66,12,10,2,0.833,0,0,0.000,3,1,0.750,4,1,0.800,32,11,21,1024,873,151,24619.323826897056,2051.61,2,1,0.667,12.58,3.51
UCLA,UCLA,D-I,MPSF,2486.07,11,8,3,0.727,0,0,0.000,2,1,0.667,3,1,0.750,26,14,12,946,842,104,24577.877657633533,2234.35,1,0,1.000,9.45,2.6
UCSB,UC Santa Barbara,D-I,BWC,1976.1,13,7,6,0.538,0,0,0.000,5,2,0.714,2,4,0.333,24,20,4,986,955,31,25196.779486654304,1938.21,0,1,0.000,2.38,0.7
