short_name,full_name,division,mascot,conference,elo,location,eligible,twitter,color,ret_2023,ret_2022,ret_2021
Daemen,Daemen,D-II,Wildcats,NEC,2014.7001495437264,"42.964334636072195, -78.78783629673202",1,@DaemenMVB,#013893,0.26,0.1,0.62
Dean,Dean,D-III,Bulldogs,D-III,1419,"42.08636133425835, -71.39748949045915",0,,,1,1,1
Dominican,Dominican,D-II,Chargers,ECC,1574.2201144665705,"41.054122909980414, -73.95272748681806",1,,#af1e2d,1,1,1
DU IL,Dominican University (IL),D-III,Stars,D-III,1419,"41.903358956576845, -87.82145689490228",0,,#1f3c6c,,,
DYouville,D'Youville,D-II,Saints,NEC,1640.1262719973774,"42.90182578107489, -78.88965269252517",1,@DYouvilleMVB,#b1181e,0.31,0.96,0.55
Eastern,Eastern,D-III,Eagles,D-III,1419,"40.050986680102724, -75.37269408034746",0,@EUEagles,,1,1,1
Edgewood,Edgewood,D-III,Eagles,D-III,1419,"43.05830704392353, -89.42167424499276",0,,,1,1,1
Elizabeth,Saint Elizabeth,D-III,Eagles,D-III,1419,"40.777375075122734, -74.43415675237851",0,,,1,1,1
Elizabethtown,Elizabethtown,D-III,Blue Jays,D-III,1419,"40.150819758599084, -76.59062951850991",0,,,1,1,1
Elmira,Elmira,D-III,Soaring Eagles,D-III,1419,"42.096566184891785, -76.81556739854054",0,@ElmiraMVB,,1,1,1
Elms,Our Lady of the Elms,D-III,Blazers,D-III,1419,"42.14173387482781, -72.60017141907629",0,,,1,1,1
Emerson,Emerson,D-III,Lions,D-III,1419,"42.35224553601047, -71.06582213018211",0,@EmersonVBALL,,1,1,1
Emmanuel,Emmanuel,D-II,Lions,CC,1514.5784331132515,"34.28232255958307, -83.15283746675586",1,@EC_M_volleyball,#132e52,0.03,0.6,0.46
Emmanuel MA,Emmanuel-MA,D-III,Saints,D-III,1419,"42.34035470893204, -71.10340832812273",0,,,1,1,1
EMU,Eastern Mennonite,D-III,Royals,D-III,1419,"38.4724731498568, -78.87859418683938",0,@emu_volleyball,,1,1,1
Endicott,Endicott,D-III,Gulls,D-III,1419,"42.555019322717676, -70.83965869564096",0,@EndicottMVB,,1,1,1
ENU,Eastern Nazarene,D-III,Lions,D-III,1419,"42.27217678612162, -71.01071405591968",0,@encmvb,#e41309,1,1,1
Erskine,Erskine,D-II,Flying Fleet,CC,1747.6044160064705,"34.33264844123455, -82.39295012824844",1,@FlyingFleetMVB,#6f1931,0,0.17,0.47
EWU,Edward Waters,D-II,Tigers,SIAC,1426.3566005508596,"30.34614835020607, -81.68808435799133",1,@EWU_Athletics,#702784,0.03,0,0
FDU,Fairleigh Dickinson,D-I,Knights,NEC,1819.075502350281,"40.896665989152474, -74.03244336140656",1,@FDUKnightsMVB,#272f44,0.06,0,0
First Point,Austin Convention Center,n/a,n/a,n/a,1500.0,"30.263653912461567, -97.73966337824726",0,,,1,1,1
Fisher,Fisher,NAIA,Falcons,NAIA,1373,"42.31671086652626, -71.12697336665569",0,@fisher_mvb,#0B233F,1,1,1
Fontbonne,Fontbonne,D-III,Griffins,D-III,1419,"38.64174360171452, -90.31502244592951",0,@FBUGriffinsMVB,,1,1,1
Franklin,Franklin,D-III,Grizzlies,D-III,1419,"39.47809384062116, -86.04393242883485",0,,,,,
FVSU,Fort Valley State,D-II,Wildcats,SIAC,1795.7410209856082,"32.533038270782875, -83.89765259686493",1,@FVSUATHLETICS,#f7b50c,0.04,0,0
GCU,Grand Canyon,D-I,Antelopes,MPSF,2318.3419138591034,"33.51026623785861, -112.12902999636252",1,@GCU_MVolleyball,#512699,0.25,0.5,0.18
Geneva,Geneva,D-III,Golden Tornadoes,D-III,1419,"40.77105523710914, -80.32069510818673",0,@GenevaAthletics,#b4975b,1,1,1
Georgetown,Georgetown-KY,NAIA,Tigers,NAIA,1373,"38.2075905437859, -84.55289270669186",0,@GCAthletics,,1,1,1
GMU,George Mason,D-I,Patriots,EIVA,2076.48186128468,"38.83065978140495, -77.3124337809112",1,@GoMasonMVB,#006938,0.29,0.65,0.37
Governors,Governors State,NAIA,Jaguars,NAIA,1373,"41.44975525378815, -87.71773393443132",0,,,,,
Graceland,Graceland,NAIA,Yellowjackets,NAIA,1373,"40.61455111800166, -93.9265999300875",0,@GUjackets,#00275c,1,1,1
Grand View,Grand View,NAIA,Vikings,NAIA,1373,"41.61980219082709, -93.59806643803012",0,@VikingAthletics,,1,1,1
Harvard,Harvard,D-I,Crimson,EIVA,1950.9494979238966,"42.37135182238967, -71.11941108239166",1,@HarvardMVB,#a31f36,0.48,0.64,0
Hawaii,Hawai'i,D-I,Rainbow Warriors,BWC,2363.8572465496723,"21.294609859692425, -157.8183992624992",1,@HawaiiMensVB,#005837,0.12,0.68,0.35
Hilbert,Hilbert,D-III,Hawks,D-III,1419,"42.75407223484585, -78.81970205433396",0,@HilbertAthletic,,1,1,1
Hiram,Hiram,D-III,Terriers,D-III,1419,"41.311370096971544, -81.14153368962442",0,,,1,1,1
Hood,Hood,D-III,Blazers,D-III,1419,"39.42437731893386, -77.41677581531793",0,,,,,
Hope,Hope International,NAIA,Royals,NAIA,1373,"33.87666559372903, -117.88540313444459",0,,#001489,,,
Houghton,Houghton,D-III,Highlanders,D-III,1419,"42.427673008910816, -78.15192987097446",0,,#3d1a54,,,
Hunter,Hunter,D-III,Hawks,D-III,1419,"40.76777636366904, -73.96455470358497",0,,,1,1,1
IIT,Illinois Tech,D-III,Scarlet Hawks,D-III,1419,"41.839019206655045, -87.62557170033118",0,,,1,1,1
Immaculata,Immaculata,D-III,Mighty Macs,D-III,1419,"40.027973552241136, -75.57068390446615",0,,,1,1,1
Indiana Tech,Indiana Tech,NAIA,Warriors,NAIA,1373,"41.078223061447055, -85.11802161138166",0,@INTechMVB,,1,1,1
IWU,Illinois Wesleyan,D-III,Titans,D-III,1419,"40.49388795647673, -88.98929385170241",0,,,1,1,1
Jamestown,Jamestown,NAIA,Jimmies,NAIA,1373,"46.9150125897768, -98.69405345622302",0,,,1,1,1
Jessup,Jessup,D-II,Warriors,IND,1509.4192507513646,"38.82126420197252, -121.29241677056508",1,,#0f2c47,,,
John Jay,John Jay,D-III,Bloodhounds,D-III,1419,"40.77035218686202, -73.98835148520904",0,,,1,1,1
Judson,Judson,NAIA,Eagles,NAIA,1373,"42.06105413456005, -88.28638078225565",0,@JudsonMensVB,#172751,1,1,1
Juniata,Juniata,D-III,Eagles,D-III,1419,"40.50082601597881, -78.01535329509088",0,,,1,1,1
JWU,Johnson and Wales,D-III,Wildcats,D-III,1419,"41.78926009829432, -71.39140899103272",0,,,1,1,1
Katherine,Saint Katherine,NAIA,Firebirds,NAIA,1373,"33.14459389006438, -117.188980895342",0,@UskMvb,,1,1,1
Kean,Kean,D-III,Cougars,D-III,1419,"40.68045714398456, -74.23754322953764",0,@KeanMVB,,1,1,1
King,King,D-II,Tornados,CC,1549.8868032593468,"36.585282826029015, -82.15931172711392",1,@TornadoMVB,#cf102d,0.49,0.28,0.54
Kings,King's,D-III,Monarchs,D-III,1419,"41.249174900875346, -75.87696569302454",0,@KingsMonarchs,,1,1,1
KSU,Kentucky State,D-II,Thorobreds,SIAC,1298.7007050822658,"38.20016245445245, -84.86007930194451",1,@KYSUAthletics,#00793d,0,0,0
KWU,Kansas Wesleyan,NAIA,Coyotes,NAIA,1373,"38.813877558519415, -97.60763589783369",0,@kwucoyotes,#632388,1,1,1
Lakeland,Lakeland,D-III,Muskies,D-III,1419,"43.843452277396864, -87.88577772880265",0,,,1,1,1
Lancaster,Lancaster Bible,D-III,Chargers,D-III,1419,"40.07544941311759, -76.28914618292605",0,@LBCathletics,,1,1,1
Lasell,Lasell,D-III,Lasers,D-III,1419,"42.34259730667481, -71.24342225858211",0,,,1,1,1
LBSU,Long Beach,D-I,49ers,BWC,2542.592282725575,"33.78755969795288, -118.11468048796037",1,@lbsumvb,#eba91b,0.25,0.51,0.45
Lees,Lees-McRae,D-II,Bobcats,CC,1535.7548694765057,"36.15646890875242, -81.87072487315083",1,@LMCBobcatVolley,#005c42,0.28,0.43,0.31
Lehman,Lehman,D-III,Lightning Bugs,D-III,1419,"40.87466726077226, -73.89295862715507",0,,,1,1,1
Lesley,Lesley,D-III,Lynx,D-III,1419,"42.43001050429625, -71.12511049597039",0,,,1,1,1
Lewis,Lewis,D-II,Flyers,MIVA,2158.450967938321,"41.60507512399408, -88.08211780186922",1,@LewisMVBall,#c00000,0.42,0.63,0.4
Life,Life,NAIA,Running Eagles,NAIA,1373,"33.931020655187076, -84.51727778423846",0,@lifeu_mvb,,1,1,1
Limestone,Limestone,D-II,Saints,IVA,1744.8,"35.0550147456207, -81.65177833084384",0,@LimestoneMVB,#0038a5,0.57,0.27,0.24
Lincoln,Lincoln,NAIA,Lynx,NAIA,1373,"40.15727080993323, -89.36035218954572",0,@LincolnLynxMVB,#712E91,1,1,1
Lindenwood,Lindenwood,D-I,Lions,MIVA,1975.3539295536027,"38.78885569308603, -90.50402535960333",1,@lindenwoodMVB,#dcd087,0.59,0.41,0.45
LIU,Long Island,D-I,Sharks,NEC,1920.536795355851,"40.69062486571616, -73.979257542518",1,@LIUMVolleyball,#ffc72c,0.4,0,0
LMO,LeMoyne-Owen,D-II,Magicians,SIAC,1390.5791474607706,"35.11907279516238, -90.03333360531548",1,,,,,
LMU,Lincoln Memorial,D-II,Railsplitters,IVA,2233.168045071737,"36.58069456454686, -83.6625514731423",1,@SplittersMensVB,#002461,0.35,0.52,0.44
Loras,Loras,D-III,Duhawks,D-III,1419,"42.504879804777005, -90.67847969314923",0,,,1,1,1
Lourdes,Lourdes,NAIA,Grey Wolves,NAIA,1373,"41.7080917959541, -83.70556847058288",0,,,1,1,1
Loyola,Loyola Chicago,D-I,Ramblers,MIVA,2284.8393389194093,"42.000567998243376, -87.65897785953142",1,@RamblersMVB,#582931,0.53,0.25,0.59
Maranatha,Maranatha Baptist,D-III,Sabercats,D-III,1419,"43.19434080238715, -88.7378745828583",0,,,1,1,1
Marian,Marian,D-III,Sabres,D-III,1419,"43.77635064609146, -88.41999676090558",0,,,1,1,1
Marymount,Marymount,D-III,Saints,D-III,1419,"38.90566645273184, -77.12717533225883",0,,,1,1,1
