short_name,full_name,division,mascot,conference,elo,location,eligible,twitter,color,ret_2023,ret_2022,ret_2021
Stevens,Stevens,D-III,Ducks,D-III,1419,"40.74330688729092, -74.02580511631534",0,,,1,1,1
Stevenson,Stevenson,D-III,Mustangs,D-III,1419,"39.427623235478656, -76.77926613430805",0,,,1,1,1
SUNY New Paltz,SUNY-New Paltz,D-III,Hawks,D-III,1419,"41.739840548230994, -74.08651471281539",0,@nphawks,,1,1,1
SUNY Poly,SUNY-Polytechnic,D-III,Wildcats,D-III,1419,"43.137836223361504, -75.22973236333709",0,,,1,1,1
SUNY Potsdam,SUNY-Potsdam,D-III,Bears,D-III,1419,"44.660676196882086, -74.96712355234018",0,@PotsdamBears,,1,1,1
SUNY Purchase,SUNY-Purchase,D-III,Panthers,D-III,1419,"41.05010343783726, -73.69852253602835",0,,,1,1,1
SVU,Southern Virginia,D-III,Knights,D-III,1419,"37.74147880883873, -79.34995625019081",0,@svuathletics,,1,1,1
Talladega,Talladega College,NAIA,Tornadoes,NAIA,1373,"33.43161452236578, -86.11487773999129",0,,#aa0534,,,
Thiel,Thiel,D-III,Tomcats,D-III,1419,"41.411953215542255, -80.38403895686261",0,,,1,1,1
Thomas More,Thomas More,D-II,Saints,IVA,1667.9854061748558,"39.0210397287091, -84.56872684972652",1,@Saints_MVB,#00549f,1,1,1
Trine,Trine,D-III,Thunder,D-III,1419,"41.63098230268178, -85.01231909201103",0,,,1,1,1
Trinity,Trinity Christian,NAIA,Trolls,NAIA,1373,"41.67152464815323, -87.78254124111504",0,,,,,
Truett,Truett-McConnell,NAIA,Bears,NAIA,1373,"34.59660840107576, -83.75065653236048",0,@TMUBears,#002a46,1,1,1
Tusculum,Tusculum,D-II,Pioneers,IVA,1850.4393901585167,"36.172235784169594, -82.76122001547911",1,@TusculumMVB,#ec6633,0.25,0.46,0.21
TWU,Trinity Western (CAN),CAN,Spartans,CAN,1419,"49.14628307440654, -122.66646927546104",0,,,,,
UCI,UC Irvine,D-I,Anteaters,BWC,2365.6626378239616,"33.649529179071855, -117.84676229463538",1,@UCImvb,#002144,0.2,0.43,0.23
UCLA,UCLA,D-I,Bruins,MPSF,2486.0695132840433,"34.070368942308, -118.44692940202692",1,@UCLAMVB,#2d68c4,0.24,0.26,0.54
UCSB,UC Santa Barbara,D-I,Gauchos,BWC,1976.1035479060965,"34.413774241887246, -119.85124827968606",1,@ucsbmvb,#223168,0.39,0.69,0.39
UCSC,UC Santa Cruz,D-III,Banana Slugs,D-III,1419,"36.96823924339548, -122.02312311628842",0,@ucsc_mvb,,1,1,1
UCSD,UC San Diego,D-I,Tritons,BWC,2128.4949634332925,"32.88532910021645, -117.23989557321309",1,@UCSDmvb,#182b49,1.02,0.4,0.46
UHSP,Health Sciences & Pharmacy,NAIA,Eutectics,NAIA,1373,"38.63693302044206, -90.26244371434896",0,@UHSPEutectics,#46166b,1,1,1
UMO,Mount Olive,D-II,Trojans,CC,2040.0821983129852,"35.206267828209945, -78.07135766938003",1,@UMOMVB,#026241,0.94,0.35,0.39
UPRRP,Puerto Rico-Rio Piedras,D-II,Gallitos,IVA,1481.1,"18.40278872714375, -66.05006215991594",0,,,1,1,1
Urbana,Urbana,D-II,Blue Knights,IVA,1379.4,"40.09973848144935, -83.76003001311695",0,,,1,1,1
USC,Southern California,D-I,Trojans,MPSF,2161.716364656642,"34.02083077304503, -118.27970057319217",1,@USCmensvolley,#9d2235,0.89,0.67,0.57
UWSP,UW-Stevens Point,D-III,Pointers,D-III,1419,"44.52938569773639, -89.57064916504639",0,,,,,
Valley Forge,Valley Forge,D-III,Patriots,D-III,1419,"40.1181690516284, -75.550581063398",0,,,1,1,1
Vanguard,Vanguard,D-II,Lions,MPSF,1483.542869198306,"33.66149843172471, -117.90297950960634",1,@VULions,#003767,1,1,1
Vassar,Vassar,D-III,Brewers,D-III,1419,"41.689951645290634, -73.89088724998996",0,,,1,1,1
Viterbo,Viterbo University,NAIA,V-Hawks,NAIA,1373,"43.803434099124416, -91.24490656755901",0,,#1f2f5f,,,
VWU,Virginia Wesleyan,D-III,Marlins,D-III,1419,"36.86814151375981, -76.1857311194577",0,,#00305b,,,
Wabash,Wabash,D-III,Little Giants,D-III,1419,"40.03704910749767, -86.90791218910711",0,,,1,1,1
Warner,Warner,NAIA,Royals,NAIA,1373,"27.851729076947557, -81.5991506273334",0,,,1,1,1
Warren,Warren Wilson,D-III,Owls,D-III,1419,"35.61376232069033, -82.44277272102684",0,,#004976,,,
Webber,Webber International,NAIA,Warriors,NAIA,1373,"27.83794368879541, -81.53348173209628",0,@WebberAthletics,,1,1,1
Wells,Wells,D-III,Express,D-III,1419,"42.74657777700596, -76.69624086746354",0,@WellsExpress,#b31b34,1,1,1
Westcliff,Westcliff,NAIA,Warriors,NAIA,1373,"33.79535549977899, -117.76684789770304",0,,,1,1,1
Widener,Widener,D-III,Pride,D-III,1419,"39.86591052264735, -75.35187384013149",0,@WidenerMVB,,1,1,1
Wilkes,Wilkes,D-III,Colonels,D-III,1419,"41.2423605095444, -75.890487664037",0,,,1,1,1
Wilson,Wilson,D-III,Phoenix,D-III,1419,"39.953606035662204, -77.6499938604079",0,,,1,1,1
WIT,Wentworth Tech,D-III,Leopards,D-III,1419,"42.33551821175901, -71.094890253902",0,,,1,1,1
Wittenberg,Wittenberg,D-III,Tigers,D-III,1419,"39.937405829559225, -83.81388113557702",0,@WittAthletics,#990000,1,1,1
WLC,Wisconsin Lutheran,D-III,Warriors,D-III,1419,"43.03772451134177, -88.02170450400425",0,,,1,1,1
WPU,William Penn-Iowa,NAIA,Statesmen,NAIA,1373,"41.309247172572135, -92.64891268395098",0,@StatesmenMVB,,1,1,1
Xavier,Saint Xavier,NAIA,Cougars,NAIA,1373,"41.70695344950264, -87.71614398729923",0,@SXUmensvball,,1,1,1
Yeshiva,Yeshiva,D-III,Maccabees,D-III,1419,"40.85009572301855, -73.92863738341114",0,@YUathletics,#005696,1,1,1
York,York,D-III,Cardinals,D-III,1419,"40.70067378876929, -73.79500755814429",0,@YCPathletics,#00853e,1,1,1
Reno,Reno Event Center,n/a,n/a,n/a,1500.0,"39.53091562505066, -119.81239987484756",0,,,,,
