short_name,full_name,division,conference,elo,games,wins,losses,win_pct,conf_wins,conf_losses,conf_pct,home_wins,home_losses,home_pct,away_wins,away_losses,away_pct,sets_won,sets_lost,set_diff,points_won,points_lost,point_diff,soo,sos,cinco_wins,cinco_losses,cinco_pct,points_game,points_set
Alderson,Alderson Broaddus University,D-II,Independent,1396.75,12,4,8,0.333,0,0,0,2,3,0.400,2,4,0.333,14,28,-14,861,986,-125,16849.068078990105,1404.09,0,0,0,-10.42,-2.98
American,American International College,D-II,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ball,Ball State University,D-I,MIVA,1655.72,20,12,8,0.600,0,0,0,7,3,0.700,5,5,0.500,42,33,9,1713,1637,76,31836.33461485341,1591.82,2,2,0.500,3.8,1.01
Barton,Barton College,D-II,Carolinas,1603.93,19,9,10,0.474,0,0,0,7,2,0.778,2,8,0.200,35,38,-3,1642,1673,-31,29297.64750124457,1541.98,2,3,0.400,-1.63,-0.42
Belmont,Belmont Abbey College,D-II,Carolinas,1642.93,23,15,8,0.652,0,0,0,7,3,0.700,6,4,0.600,51,37,14,2023,1968,55,35684.09628464723,1551.48,3,2,0.600,2.39,0.62
Benedict,Benedict College,D-II,SIAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BYU,Brigham Young University,D-I,MPSF,1829.38,24,20,4,0.833,0,0,0,11,1,0.917,8,2,0.800,62,19,43,1993,1668,325,38133.47612186204,1588.89,1,0,1.000,13.54,4.01
Central,Central State University,D-II,SIAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charleston,University of Charleston,D-II,EIVA,1408.03,17,4,13,0.235,0,0,0,2,8,0.200,2,5,0.286,20,42,-22,1276,1449,-173,26311.915912949866,1547.76,1,2,0.333,-10.18,-2.79
Concordia,Concordia University Irvine,D-II,MPSF,1472.08,17,3,14,0.176,0,0,0,2,5,0.286,1,8,0.111,16,46,-30,1285,1466,-181,26827.088487681376,1578.06,2,2,0.500,-10.65,-2.92
CSUN,CSU Northridge,D-I,Big West,1434.09,11,2,9,0.182,0,0,0,2,4,0.333,0,4,0.000,11,30,-19,853,968,-115,17930.67260578896,1630.06,1,1,0.500,-10.45,-2.8
Daemen,Daemen College,D-II,NEC,1658.22,10,10,0,1.000,0,0,0,3,0,1.000,5,0,1.000,30,6,24,884,633,251,14265.755701667977,1426.58,1,0,1.000,25.1,6.97
DYouville,D'Youville College,D-II,NEC,1404.67,8,3,5,0.375,0,0,0,0,4,0.000,3,1,0.750,11,15,-4,544,593,-49,11595.89069073558,1449.49,0,0,0,-6.12,-1.88
Edward,Edward Waters University,D-II,SIAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
