short_name,full_name,division,conference,elo,games,wins,losses,win_pct,conf_wins,conf_losses,conf_pct,home_wins,home_losses,home_pct,away_wins,away_losses,away_pct,sets_won,sets_lost,set_diff,points_won,points_lost,point_diff,soo,sos,cinco_wins,cinco_losses,cinco_pct,points_game,points_set
Alderson,Alderson Broaddus University,D-II,Independent,1335.67,13,1,12,0.077,0,0,0,1,3,0.250,0,6,0.000,3,36,-33,0,0,0,19661.21733253996,1512.4,0,0,0,0,0
American,American International College,D-II,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ball,Ball State University,D-I,MIVA,1822.89,18,12,6,0.667,0,0,0,6,1,0.857,6,5,0.545,41,24,17,0,0,0,29256.310495860962,1625.35,2,1,0.667,0,0
Barton,Barton College,D-II,Carolinas,1682.51,15,13,2,0.867,0,0,0,6,0,1.000,6,1,0.857,40,11,29,0,0,0,24343.92251376735,1622.93,2,0,1.000,0,0
Belmont,Belmont Abbey College,D-II,Carolinas,1597.22,18,8,10,0.444,0,0,0,5,3,0.625,3,7,0.300,31,36,-5,0,0,0,28844.488349751722,1602.47,2,2,0.500,0,0
Benedict,Benedict College,D-II,SIAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BYU,Brigham Young University,D-I,MPSF,1886.98,18,17,1,0.944,0,0,0,9,0,1.000,8,1,0.889,53,11,42,0,0,0,31435.552060801696,1746.42,1,1,0.500,0,0
Central,Central State University,D-II,SIAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charleston,University of Charleston,D-II,EIVA,1505.57,17,4,13,0.235,0,0,0,4,5,0.444,0,8,0.000,20,42,-22,0,0,0,28124.484511923838,1654.38,0,3,0.000,0,0
Concordia,Concordia University Irvine,D-II,MPSF,1642.5,21,11,10,0.524,0,0,0,6,2,0.750,3,6,0.333,40,41,-1,0,0,0,34470.34441774594,1641.44,2,2,0.500,0,0
