short_name,full_name,division,conference,elo,games,wins,losses,win_pct,conf_wins,conf_losses,conf_pct,home_wins,home_losses,home_pct,away_wins,away_losses,away_pct,sets_won,sets_lost,set_diff,points_won,points_lost,point_diff,soo,sos,cinco_wins,cinco_losses,cinco_pct,points_game,points_set
Alderson,Alderson Broaddus University,D-II,Independent,1360.93,28,6,22,0.214,0,0,0,3,7,0.300,2,9,0.182,32,72,-40,2122,2407,-285,41392.492604106024,1478.3,2,1,0.667,-10.18,-2.74
American,American International College,D-II,Independent,1329.95,18,2,16,0.111,0,0,0,1,6,0.143,1,9,0.100,7,49,-42,961,1359,-398,26320.438295922177,1462.25,0,0,0,-22.11,-7.11
Ball,Ball State University,D-I,MIVA,1841.96,27,23,4,0.852,0,0,0,14,1,0.933,9,2,0.818,74,24,50,2384,2042,342,44258.56158791268,1639.21,3,2,0.600,12.67,3.49
Barton,Barton College,D-II,Carolinas,1400.1,20,0,20,0.000,0,0,0,0,10,0.000,0,9,0.000,11,60,-49,1362,1730,-368,31598.615942712862,1579.93,0,3,0.000,-18.4,-5.18
Belmont,Belmont Abbey College,D-II,Carolinas,1570.38,31,15,16,0.484,0,0,0,9,5,0.643,4,11,0.267,62,52,10,2488,2407,81,47617.61796509122,1536.05,1,7,0.125,2.61,0.71
Benedict,Benedict College,D-II,SIAC,1427.38,24,9,15,0.375,0,0,0,4,6,0.400,2,6,0.250,34,48,-14,1721,1793,-72,34509.27894657182,1437.89,1,1,0.500,-3.0,-0.88
BYU,Brigham Young University,D-I,MPSF,1622.58,25,8,17,0.320,0,0,0,7,7,0.500,1,9,0.100,41,61,-20,2254,2360,-106,41085.61682986974,1643.42,4,6,0.400,-4.24,-1.04
Central,Central State University,D-II,SIAC,1532.08,26,14,12,0.538,0,0,0,5,5,0.500,5,7,0.417,47,45,2,2001,1901,100,37518.42394391624,1443.02,3,2,0.600,3.85,1.09
Charleston,University of Charleston,D-II,EIVA,1514.07,23,9,14,0.391,0,0,0,6,7,0.462,2,7,0.222,42,47,-5,1910,1950,-40,36506.45981229138,1587.24,1,5,0.167,-1.74,-0.45
Concordia,Concordia University Irvine,D-II,MPSF,1503.31,26,10,16,0.385,0,0,0,7,7,0.500,3,8,0.273,36,54,-18,2006,2075,-69,41050.064238067214,1578.85,1,1,0.500,-2.65,-0.77
CSUN,CSU Northridge,D-I,Big West,1468.82,22,6,16,0.273,0,0,0,5,6,0.455,1,9,0.100,22,50,-28,1568,1664,-96,35821.79368281979,1628.26,0,1,0.000,-4.36,-1.33
Daemen,Daemen College,D-II,Independent,1695.09,22,16,6,0.727,0,0,0,9,1,0.900,6,4,0.600,56,26,30,1896,1665,231,32753.14555621381,1488.78,2,3,0.400,10.5,2.82
DYouville,D'Youville College,D-II,Independent,1452.42,22,9,13,0.409,0,0,0,5,4,0.556,2,6,0.250,32,42,-10,1593,1659,-66,32280.715686137002,1467.31,1,1,0.500,-3.0,-0.89
Edward,Edward Waters University,D-II,SIAC,1484.42,34,14,20,0.412,0,0,0,7,4,0.636,5,14,0.263,62,68,-6,2787,2785,2,49615.09304302127,1459.27,3,6,0.333,0.06,0.02
Emmanuel,Emmanuel College,D-II,Carolinas,1617.72,29,15,14,0.517,0,0,0,10,5,0.667,5,8,0.385,54,61,-7,2487,2563,-76,45315.56868138783,1562.61,6,2,0.750,-2.62,-0.66
