date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
3/13/2021,2021,Charleston,0,0,GMU,Charleston,,,,,,,1379.380400506766,1344.8992354459863,0.5494601057646903,0.45053989423530977,1379.380400506766,1344.8992354459863
3/13/2021,2021,SFU,0,0,Penn,SFU,,,,,,,1443.998050474481,1199.0509096840717,0.8037705314384809,0.19622946856151904,1443.998050474481,1199.0509096840717
3/17/2021,2021,GCU,0,0,USC,GCU,,,,,,,1309.970960583174,1329.1960602397444,0.4723610608848225,0.5276389391151776,1309.970960583174,1329.1960602397444
3/18/2021,2021,Loyola,0,0,McKendree,Loyola,,,,,,,1447.4558997498164,1384.077401063896,0.590210578851406,0.40978942114859385,1447.4558997498164,1384.077401063896
3/19/2021,2021,Pepperdine,0,0,BYU,Pepperdine,,,,,,,1414.3079867015385,1413.6212784290221,0.5009882513578158,0.4990117486421842,1414.3079867015385,1413.6212784290221
3/19/2021,2021,NJIT,0,0,Penn,NJIT,,,,,,,1443.998050474481,1402.0198910313884,0.5601191687854463,0.4398808312145537,1443.998050474481,1402.0198910313884
3/19/2021,2021,Stanford,0,0,GCU,Stanford,,,,,,,1329.1960602397444,1309.5468514663614,0.5282473748510084,0.4717526251489917,1329.1960602397444,1309.5468514663614
3/19/2021,2021,Quincy,0,0,Ball,Quincy,,,,,,,1400.1544322801283,1308.0728147228272,0.629498132076689,0.3705018679233109,1400.1544322801283,1308.0728147228272
3/19/2021,2021,Charleston,0,0,SFU,Charleston,,,,,,,1199.0509096840717,1344.8992354459863,0.3016252595155684,0.6983747404844316,1199.0509096840717,1344.8992354459863
3/19/2021,2021,GMU,0,0,Sacred,GMU,,,,,,,1269.3907046891457,1379.380400506766,0.3467962693493346,0.6532037306506654,1269.3907046891457,1379.380400506766
3/19/2021,2021,Lindenwood,0,0,Lewis,Lindenwood,,,,,,,1402.2904018998688,1281.053319626346,0.6677212888163903,0.3322787111836098,1402.2904018998688,1281.053319626346
3/19/2021,2021,Loyola,0,0,McKendree,Loyola,,,,,,,1447.4558997498164,1384.077401063896,0.590210578851406,0.40978942114859385,1447.4558997498164,1384.077401063896
3/19/2021,2021,PFW,0,0,Ohio,PFW,,,,,,,1361.3385964224176,1345.840502445145,0.522288768713655,0.47771123128634496,1361.3385964224176,1345.840502445145
