team,wp,owp,oowp,rpi
American International,0.07142857142857142,0.35617371758676103,0.41067103090509766,0.2986117593767978
Ball State,0.6428571428571429,0.5178277159606137,0.5439015770798146,0.5556035379645462
Barry,0,0,0,0.0
Barton,0.38095238095238093,0.4179334050387997,0.4675547258748035,0.421093479226196
Belmont Abbey,0.8076923076923077,0.4338875471471117,0.469540478798017,0.536251970196137
Benedict,0.14285714285714285,0.32346789895631567,0.3740081077227501,0.2909502621231311
BYU,0.64,0.5683017671983188,0.5740653772363886,0.5876672279082567
Catawba,0,0,0,0.0
Central State,0.22580645161290322,0.4046395532817926,0.42870032095326893,0.36594646978243933
Charleston,0.42857142857142855,0.48926576368587504,0.5047868835655478,0.4779724598771816
Concordia,0.18181818181818182,0.5870684983016317,0.5700044512770756,0.48148990742463016
CSU Northridge,0.4,0.5714506717337303,0.5547566007094104,0.5244144860442178
Daemen,0.76,0.4548828263523916,0.48176452342884685,0.5378825440334075
Dominican,0.3333333333333333,0.31326955500493736,0.4229966618360162,0.34571727629480603
D'Youville,0.43478260869565216,0.4372517014122181,0.45183338545699064,0.44027984924426977
Emmanuel,0.28,0.4853781286662677,0.4443507835033801,0.4237767602089789
Erskine,0.5416666666666666,0.39303262059446475,0.4598756769097305,0.44690189619133164
Edward Waters,0.47368421052631576,0.35257593908933066,0.4179417999402868,0.399194472161316
Fairleigh Dickinson,0.4444444444444444,0.5124426813149944,0.46673267695046555,0.4840156210062247
Fort Valley State,0.6190476190476191,0.36084514483403274,0.44436653521403857,0.4462761109824308
Grand Canyon,0.8387096774193549,0.5737714574306723,0.5708613542314227,0.6392784866280306
George Mason,0.6428571428571429,0.516101983779104,0.532565763598958,0.5519067185035773
Harvard,0.48,0.5066147100602344,0.5153901495054769,0.5021548924064865
Hawai'i,0.7666666666666667,0.5141786615849583,0.5595701985352696,0.5886485470929632
Jessup,0,0,0,0.0
King,0.19230769230769232,0.5126049434315039,0.4710125326279748,0.4221325279496687
Kentucky State,0.23809523809523808,0.3654600955673109,0.37924348335209596,0.33706472814548893
Long Beach,0.9,0.5650856557235869,0.5495041864567944,0.6449188744759922
Lees-McRae,0.047619047619047616,0.4429731438533428,0.4687698874443601,0.35058380569252334
Lewis,0.5,0.5600815989034378,0.5370366023868257,0.5392999500484253
Lindenwood,0.5714285714285714,0.5477538609237891,0.5229187129794992,0.5474637515639122
Long Island,0.5185185185185185,0.5089128555508471,0.4911509821120512,0.5068738029330659
LeMoyne-Owen,0,0,0,0.0
Lincoln Memorial,0.8076923076923077,0.4047201231653793,0.4889920843931887,0.5265311596040637
Loyola Chicago,0.6551724137931034,0.5508207434744166,0.5379914866837433,0.5737013468564199
Maryville,0.65,0.35239287394732044,0.48051414763531,0.4588249738824878
McKendree,0.5384615384615384,0.5206099472101087,0.5226206567108848,0.5255755223981601
Menlo,0,0,0,0.0
Merrimack,0.36,0.4854730030589101,0.4760744105687028,0.4517551041716308
Morehouse,0.07142857142857142,0.3418295793351079,0.4151442248823341,0.29255798874528033
Missouri S&T,0.2857142857142857,0.49299270432810804,0.45855362217781337,0.43256332913707884
North Greenville,0.6521739130434783,0.4531333492066171,0.4769811195349866,0.5088554327479248
NJIT,0.4230769230769231,0.5264671849419861,0.5311809810881131,0.5017980685122521
Ohio State,0.7096774193548387,0.593193920319674,0.5394631236255605,0.6088820959049368
Penn State,0.7666666666666667,0.5653068706516982,0.5379079726925399,0.6087970951656507
Pepperdine ,0.6296296296296297,0.5632039768771403,0.5426594080744449,0.5746742478645888
Purdue Fort Wayne,0.5384615384615384,0.5543358292074825,0.52197984714156,0.5422782610045158
Princeton,0.5,0.518446010511228,0.5310401341213581,0.5169830387859535
Queens,0.3,0.5122605314059587,0.5106137718314306,0.45878370866083706
Quincy,0.17391304347826086,0.5097198520769343,0.5063843225675899,0.42493426754992986
Rockhurst,0,0,0,0.0
Roosevelt University,0.0,0.4311740890688259,0.42269278913771424,0.3212602418188415
Roberts Wesleyan,0.2222222222222222,0.36532666206579245,0.39913046916555384,0.33800150387984024
Saint Francis,0.7,0.53284709056044,0.4913061208805822,0.5642500755003655
Sacred Heart,0.35714285714285715,0.5077408404833506,0.4750772220071587,0.46192544002917924
St. Thomas Aquinas,0.42857142857142855,0.3529189857761285,0.413661999913165,0.3870178500092126
Stanford,0.5384615384615384,0.610832236506899,0.575837501079724,0.583990878138765
Thomas More,0.5,0.43294029124557737,0.42603265837003207,0.44797831021529666
Tusculum,0.25806451612903225,0.5327200248403959,0.4525458475284201,0.44401260333456105
UC Irvine,0.6451612903225806,0.6225115521328707,0.5686078495851975,0.6146980610433799
UCLA,0.8387096774193549,0.6436652224333426,0.5596164963374238,0.671414154655866
UC Santa Barbara,0.3076923076923077,0.5943268201064303,0.5569721618300213,0.5133295274337975
UC San Diego,0.4230769230769231,0.5598424224920592,0.5493474260049505,0.523027298516498
Mount Olive,0.5238095238095238,0.4911470091633769,0.45160057015985977,0.48942602807403435
Southern California,0.4642857142857143,0.5865331323028367,0.5546422666442667,0.5479985613839136
Vanguard,0,0,0,0.0
