date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1/22/2021,2021,Lewis,0,0,Queens,Lewis,0,1,0,3,56,75,1483.2925427198065,1512.1764913444883,0.4585281550576203,0.5414718449423797,1473.952975091296,1526.8493923063322
1/22/2021,2021,Lindenwood,0,0,Georgetown,Lindenwood,0,1,2,3,88,110,1373,1500,0.3249597989597013,0.6750402010402987,1364.3790642110673,1513.9542691222662
1/22/2021,2021,Loyola,0,0,LMU,Loyola,0,1,1,3,87,98,1516.0,1500,0.5230095872975623,0.4769904127024377,1502.8192487620336,1518.5140845713
1/22/2021,2021,Maranatha,1,0,Erskine,Maranatha,1,0,3,0,75,50,1500,1419,0.6145013610085578,0.3854986389914422,1517.6692897810594,1406.6640435522738
1/22/2021,2021,,1,0,Erskine,Maranatha,1,0,3,0,75,50,1517.6692897810594,1419,0.6382983460606835,0.36170165393931647,1534.5770760404507,1407.425547073942
1/23/2021,2021,GMU,0,0,Ball,GMU,1,0,3,1,98,93,1485.7777777777778,1519.5555555555557,0.45154244417910677,0.5484575558208933,1506.8839751196022,1503.7826915470648
1/23/2021,2021,Ohio,0,0,Penn,Ohio,0,1,0,3,62,75,1521.3333333333333,1484.0,0.5535211524677937,0.4464788475322064,1508.953989787697,1501.7126768789694
1/23/2021,2021,SFU,0,0,King,SFU,1,0,3,2,111,108,1519.3543201280327,1481.6090109838942,0.5541071654014521,0.44589283459854784,1535.400668612964,1470.8959958322964
1/23/2021,2021,Lewis,0,0,LMU,Lewis,0,1,0,3,65,75,1502.8192487620336,1526.8493923063322,0.4654728818244891,0.5345271181755109,1493.2574498769832,1541.7445245247159
1/23/2021,2021,Loyola,0,0,Queens,Loyola,0,1,0,3,56,75,1473.952975091296,1518.5140845713,0.4362207464520803,0.5637792535479197,1465.3272445381626,1532.4731484577665
1/23/2021,2021,Quincy,0,0,Culver,Quincy,0,1,0,3,58,80,1373,1520.3817181119393,0.29976915423808126,0.7002308457619187,1368.7407203977148,1529.9743310475578
