short_name,full_name,division,mascot,conference,elo,tracking
Messiah,Messiah College,D-III,Falcons,MAC,1419,0
Millikin,Millikin University,D-III,Big Blue,CCIW,1419,0
Misericordia,Misericordia University,D-III,Cougars,MAC,1419,0
MIT,Massachusetts Institute of Technology,D-III,Engineers,UVC,1419,0
Morehouse,Morehouse College,D-II,Maroon Tigers,SIAC,1500,0
Mount Union,University of Mount Union,D-III,Purple Raiders,MCVL,1419,0
MSJ,Mount St. Joseph University,D-III,Lions,MCVL,1419,0
MSOE,Milwaukee School of Engineering,D-III,Raiders,NACC,1419,0
MSV,College of Mount Saint Vincent,D-III,Dolphins,Skyline Conference,1419,0
Nazareth,Nazareth College (NY),D-III,Golden Flyers,UVC,1419,0
Neumann,Neumann University,D-III,Knights,CVC,1419,0
New Jersey,New Jersey City University,D-III,Gothic Knights,Skyline Conference,1419,0
Nichols,Nichols College,D-III,Bison,NECC,1419,0
NJIT,New Jersey Institute of Technology,D-I,Highlanders,EIVA,1614.588498551471,1
Norbert,St. Norbert College,D-III,Green Knights,NACC,1419,0
North Central,North Central College,D-III,Cardinals,CCIW,1419,0
North Park,North Park University,D-III,Vikings,CCIW,1419,0
NVU,Northern Vermont University–Johnson,D-III,Badgers,NECC,1419,0
NYU,New York University,D-III,Violets,UVC,1419,0
Ohio,The Ohio State University,D-I,Buckeyes,MIVA,1535.8597720101766,1
Olive,University of Mount Olive,D-II,Trojans,Carolinas,1624.2587203981127,1
Olivet,Olivet College,D-III,Comets,MCVL,1419,0
OUAZ,Ottawa University Arizona,NAIA,Spirit,NAIA,1373,0
Paine,Paine College,D-II,Lions,SIAC,1500,0
Penn,Pennsylvania State University,D-I,Nittany Lions,EIVA,1675.012808322559,1
Penn Altoona,Penn State Altoona,D-III,Nittany Lions,AMCC,1419,0
Penn Behrend,"Penn State Erie, The Behrend College",D-III,Behrend Lions,AMCC,1419,0
Pepperdine,Pepperdine University,D-I,Waves,MPSF,1581.9104338660493,1
PFW,Purdue University Fort Wayne,D-I,Mastodons,MIVA,1503.469630426659,1
Pine Manor,Pine Manor College,D-III,Gators,Independent,1419,0
Pratt,Pratt Institute,D-III,Cannoneers,Independent,1419,0
Princeton,Princeton University,D-I,Tigers,EIVA,1500,0
Queens,Queens University of Charlotte,D-II,Royals,Independent,1569.7215252245092,0
Quincy,Quincy University,D-II,Hawks,MIVA,1468.6477780684736,1
