short_name,full_name,division,conference,elo,games,wins,losses,win_pct,conf_wins,conf_losses,conf_pct,home_wins,home_losses,home_pct,away_wins,away_losses,away_pct,sets_won,sets_lost,set_diff,points_won,points_lost,point_diff,soo,sos,cinco_wins,cinco_losses,cinco_pct,points_game,points_set
AIC,American International,D-II,ECC,1289.69,20,2,18,0.100,5,30,0.143,2,5,0.286,0,11,0.000,14,56,-42,1371,1682,-311,31156.28544496024,1557.81,1,2,0.333,-15.55,-4.44
Ball,Ball State,D-I,MIVA,2172.85,31,21,10,0.677,70,20,0.778,15,4,0.789,6,4,0.600,70,43,27,2580,2390,190,59066.78341613132,1905.38,5,2,0.714,6.13,1.68
Barton,Barton,D-II,CC,1735.09,25,12,13,0.480,30,45,0.400,6,3,0.667,3,9,0.250,45,47,-2,1931,1983,-52,42825.87709086386,1713.04,4,3,0.571,-2.08,-0.57
Belmont,Belmont Abbey,D-II,CC,2108.95,26,21,5,0.808,75,5,0.938,9,3,0.750,7,2,0.778,67,30,37,2227,2023,204,46292.852930200854,1780.49,4,1,0.800,7.85,2.1
Benedict,Benedict,D-II,SIAC,1341.01,20,3,17,0.150,10,45,0.182,1,7,0.125,2,9,0.182,21,55,-34,1443,1786,-343,29347.197823624178,1467.36,1,5,0.167,-17.15,-4.51
BYU,BYU,D-I,MPSF,2156.06,25,16,9,0.640,35,30,0.538,9,5,0.643,7,4,0.636,59,39,20,2263,2112,151,50965.97757469282,2038.64,5,5,0.500,6.04,1.54
Central,Central State,D-II,SIAC,1553.94,36,9,27,0.250,35,30,0.538,2,9,0.182,6,14,0.300,33,89,-56,2327,2834,-507,58354.14955319465,1620.95,2,1,0.667,-14.08,-4.16
Charleston,Charleston,D-II,EIVA,1944.09,29,13,16,0.448,20,40,0.333,8,5,0.615,4,9,0.308,53,57,-4,2438,2366,72,54329.97765222329,1873.45,4,4,0.500,2.48,0.65
Concordia,Concordia,D-II,MPSF,1750.57,25,6,19,0.240,0,65,0.000,6,11,0.353,0,7,0.000,30,59,-29,1835,2023,-188,50510.28367551096,2020.41,0,5,0.000,-7.52,-2.11
CSUN,CSU Northridge,D-I,BWC,2005.79,29,13,16,0.448,20,40,0.333,8,7,0.533,3,6,0.333,54,57,-3,2494,2474,20,57312.7973777211,1976.3,1,4,0.200,0.69,0.18
Daemen,Daemen,D-II,NEC,2083.02,26,20,6,0.769,55,15,0.786,11,1,0.917,7,4,0.636,65,25,40,2147,1792,355,45318.44357206119,1743.02,1,0,1.000,13.65,3.94
Dominican,Dominican University,D-II,ECC,1492.87,25,12,13,0.480,20,20,0.500,9,6,0.600,2,7,0.222,43,46,-3,1939,1903,36,38568.6675009802,1542.75,3,2,0.600,1.44,0.4
DYouville,D'Youville,D-II,NEC,1656.17,23,10,13,0.435,5,55,0.083,6,7,0.462,4,5,0.444,39,43,-4,1820,1839,-19,39529.87412490968,1718.69,1,1,0.500,-0.83,-0.23
Emmanuel,Emmanuel,D-II,CC,1632.71,28,9,19,0.321,15,55,0.214,6,7,0.462,3,12,0.200,40,61,-21,2193,2288,-95,49446.24938705471,1765.94,1,4,0.200,-3.39,-0.94
Erskine,Erskine,D-II,CC,1844.93,24,13,11,0.542,45,30,0.600,7,5,0.583,6,5,0.545,49,36,13,1863,1804,59,42291.835562145,1762.16,1,3,0.250,2.46,0.69
EWU,Edward Waters,D-II,SIAC,1526.3,28,12,16,0.429,40,15,0.727,5,3,0.625,7,9,0.438,47,53,-6,2110,2124,-14,42709.294183999256,1525.33,1,4,0.200,-0.5,-0.14
FDU,Fairleigh Dickinson,D-I,NEC,1852.34,27,12,15,0.444,30,40,0.429,4,5,0.444,5,8,0.385,45,54,-9,2175,2243,-68,48793.35042436242,1807.16,2,2,0.500,-2.52,-0.69
FVSU,Fort Valley State,D-II,SIAC,1752.25,26,17,9,0.654,60,0,1.000,9,2,0.818,6,5,0.545,55,29,26,1894,1650,244,41169.33052898294,1583.44,0,1,0.000,9.38,2.9
GCU,Grand Canyon,D-I,MPSF,2400.81,31,26,5,0.839,65,10,0.867,10,0,1.000,8,4,0.667,84,26,58,2618,2260,358,62924.92954702847,2029.84,2,3,0.400,11.55,3.25
GMU,George Mason,D-I,EIVA,2152.7,28,18,10,0.643,35,25,0.583,11,0,1.000,5,8,0.385,64,43,21,2443,2321,122,54467.964438684474,1945.28,3,2,0.600,4.36,1.14
Harvard,Harvard,D-I,EIVA,1960.27,25,12,13,0.480,20,40,0.333,6,5,0.545,5,8,0.385,44,52,-8,2078,2168,-90,48426.848932478766,1937.07,4,1,0.800,-3.6,-0.94
Hawaii,Hawai'i,D-I,BWC,2283.65,30,23,7,0.767,35,30,0.538,18,3,0.857,5,4,0.556,74,32,42,2508,2091,417,58597.29314954348,1953.24,2,2,0.500,13.9,3.93
King,King,D-II,CC,1719.31,28,7,21,0.250,25,55,0.312,6,5,0.545,1,15,0.062,28,64,-36,1924,2181,-257,50644.47250867022,1808.73,0,2,0.000,-9.18,-2.79
KSU,Kentucky State,D-II,SIAC,1366.99,26,7,19,0.269,25,35,0.417,2,5,0.286,3,12,0.200,26,65,-39,1741,2107,-366,39628.40541630355,1524.17,4,1,0.800,-14.08,-4.02
LBSU,Long Beach,D-I,BWC,2465.14,30,27,3,0.900,55,5,0.917,19,1,0.950,5,2,0.714,83,24,59,2594,2107,487,61166.763570408584,2038.89,3,0,1.000,16.23,4.55
Lees,Lees-McRae,D-II,CC,1460.72,28,2,26,0.071,5,65,0.071,1,8,0.111,0,15,0.000,19,78,-59,1806,2330,-524,48261.2045153111,1723.61,0,4,0.000,-18.71,-5.4
Lewis,Lewis,D-II,MIVA,2084.63,30,15,15,0.500,40,45,0.471,7,7,0.500,6,7,0.462,60,57,3,2568,2510,58,60263.24215499547,2008.77,4,5,0.444,1.93,0.5
Lindenwood,Lindenwood,D-I,MIVA,2179.97,28,16,12,0.571,55,40,0.579,8,3,0.727,7,8,0.467,56,46,10,2337,2286,51,55146.56537738569,1969.52,2,1,0.667,1.82,0.5
LIU,Long Island,D-I,NEC,1939.15,27,14,13,0.519,40,25,0.615,9,3,0.750,5,9,0.357,51,45,6,2196,2111,85,48915.05687747328,1811.67,0,3,0.000,3.15,0.89
LMU,Lincoln Memorial,D-II,IVA,2175.04,26,21,5,0.808,40,0,1.000,10,1,0.909,9,4,0.692,68,25,43,2184,1812,372,45755.097218191055,1759.81,3,1,0.750,14.31,4.0
Loyola,Loyola Chicago,D-I,MIVA,2200.21,29,19,10,0.655,65,25,0.722,13,3,0.812,6,6,0.500,66,40,26,2436,2203,233,57721.91978007156,1990.41,3,3,0.500,8.03,2.2
Maryville,Maryville,D-II,IVA,1808.11,29,21,8,0.724,26,15,0.634,12,2,0.857,9,5,0.643,71,34,37,2378,2174,204,46226.63690310145,1594.02,3,2,0.600,7.03,1.94
McKendree,McKendree,D-II,MIVA,2022.07,26,14,12,0.538,40,45,0.471,10,2,0.833,4,10,0.286,53,41,12,2148,2022,126,50845.0737675398,1955.58,1,4,0.200,4.85,1.34
Merrimack,Merrimack,D-I,NEC,1752.49,25,9,16,0.360,20,45,0.308,6,5,0.545,3,10,0.231,32,56,-24,1904,2064,-160,45385.045755219624,1815.4,2,0,1.000,-6.4,-1.82
Morehouse,Morehouse,D-II,SIAC,1134.42,19,1,18,0.053,5,50,0.091,0,9,0.000,1,6,0.143,9,56,-47,1077,1569,-492,29453.388695164544,1550.18,1,1,0.500,-25.89,-7.57
MST,Missouri S&T,D-II,IVA,1718.4,22,10,12,0.455,6,20,0.231,6,3,0.667,0,8,0.000,36,39,-3,1608,1628,-20,37157.310089066086,1688.97,1,2,0.333,-0.91,-0.27
NGU,North Greenville,D-II,CC,1957.0,24,15,9,0.625,60,20,0.750,8,2,0.800,5,6,0.455,53,41,12,2128,2032,96,42560.183419848225,1773.34,3,2,0.600,4.0,1.02
NJIT,NJIT,D-I,EIVA,1926.08,26,11,15,0.423,15,40,0.273,7,4,0.636,3,8,0.273,46,56,-10,2264,2272,-8,50798.18265705051,1953.78,5,2,0.714,-0.31,-0.08
Ohio,Ohio State,D-I,MIVA,2291.43,31,22,9,0.710,70,25,0.737,12,3,0.800,6,5,0.545,75,46,29,2806,2526,280,63315.16523049683,2042.42,6,3,0.667,9.03,2.31
Penn,Penn State,D-I,EIVA,2374.95,30,23,7,0.767,60,0,1.000,15,0,1.000,8,3,0.727,75,41,34,2706,2452,254,60639.92388429106,2021.33,5,2,0.714,8.47,2.19
Pepperdine,Pepperdine ,D-I,MPSF,2071.94,28,17,11,0.607,25,40,0.385,10,5,0.667,7,5,0.583,58,45,13,2304,2193,111,54437.65207980207,1944.2,3,3,0.500,3.96,1.08
PFW,Purdue Fort Wayne,D-I,MIVA,2066.15,26,14,12,0.538,40,45,0.471,11,4,0.733,3,8,0.273,52,47,5,2171,2217,-46,51181.87399515422,1968.53,4,4,0.500,-1.77,-0.46
Princeton,Princeton,D-I,EIVA,1994.78,24,12,12,0.500,25,30,0.455,5,5,0.500,7,6,0.538,47,45,2,2065,2035,30,47040.251898611714,1960.01,3,3,0.500,1.25,0.33
Queens,Queens,D-I,MIVA,1823.55,30,9,21,0.300,10,75,0.118,7,10,0.412,2,10,0.167,37,71,-34,2272,2479,-207,58480.42044080959,1949.35,3,2,0.600,-6.9,-1.92
Quincy,Quincy,D-II,MIVA,1670.92,24,5,19,0.208,5,75,0.062,3,9,0.250,2,10,0.167,24,59,-35,1681,1893,-212,46329.4736212495,1930.39,1,3,0.250,-8.83,-2.55
RWU,Roberts Wesleyan,D-II,ECC,1463.01,24,8,16,0.333,15,25,0.375,6,8,0.429,2,8,0.200,30,54,-24,1749,1892,-143,36801.18575430261,1533.38,1,1,0.500,-5.96,-1.7
SFU,Saint Francis,D-I,NEC,2113.24,30,21,9,0.700,65,5,0.929,11,3,0.786,9,6,0.600,75,38,37,2607,2380,227,55934.82008207412,1864.49,2,4,0.333,7.57,2.01
SHU,Sacred Heart,D-I,NEC,1780.81,32,12,20,0.375,20,50,0.286,6,10,0.375,4,8,0.333,52,66,-14,2589,2697,-108,57214.7247812822,1787.96,1,4,0.200,-3.38,-0.92
STA,St. Thomas Aquinas,D-II,ECC,1648.42,23,11,12,0.478,40,5,0.889,5,2,0.714,5,7,0.417,40,42,-2,1782,1826,-44,35918.03208631694,1561.65,1,3,0.250,-1.91,-0.54
Stanford,Stanford,D-I,MPSF,2164.87,26,14,12,0.538,35,35,0.500,6,4,0.600,5,7,0.417,51,48,3,2216,2218,-2,54559.3998423178,2098.44,3,1,0.750,-0.08,-0.02
Thomas More,Thomas More,D-II,IVA,1813.0,28,16,12,0.571,15,30,0.333,8,5,0.615,7,7,0.500,52,49,3,2208,2222,-14,47013.849788235915,1679.07,5,1,0.833,-0.5,-0.14
Tusculum,Tusculum,D-II,IVA,1731.97,31,8,23,0.258,10,30,0.250,3,7,0.300,3,15,0.167,31,77,-46,2168,2552,-384,58224.6331915399,1878.21,3,1,0.750,-12.39,-3.56
UCI,UC Irvine,D-I,BWC,2318.82,31,20,11,0.645,40,25,0.615,10,3,0.769,8,5,0.615,75,42,33,2702,2528,174,65575.10674384615,2115.33,2,5,0.286,5.61,1.49
