date,AIC,Ball,Barry,Barton,Belmont,Benedict,BYU,Catawba,Central,Charleston,Concordia,CSUN,Daemen,Dominican,DYouville,Emmanuel,Erskine,EWU,FDU,FVSU,GCU,GMU,Harvard,Hawaii,Jessup,King,KSU,LBSU,Lees,Lewis,Lindenwood,LIU,LMO,LMU,Loyola,Maryville,McKendree,Menlo,Merrimack,Morehouse,MST,NGU,NJIT,Ohio,Penn,Pepperdine,PFW,Princeton,Queens,Quincy,Rockhurst,Roosevelt,RWU,SFU,SHU,STA,Stanford,Thomas More,Tusculum,UCI,UCLA,UCSB,UCSD,UMO,USC,Vanguard
12/29/2019,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1/2/2020,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1486.3772694271256,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1523.6227305728744,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1/3/2020,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1463.6227305728744,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1481.3764718073512,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1528.6235281926488,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1467.2011494637939,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1523.6227305728744,1546.3772694271256,1500.0,1500.0,1500.0,1529.1761199633318,1500.0
1/4/2020,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1545.358044299452,1500.0,1500.0,1486.3772694271256,1500.0,1500.0,1463.6227305728744,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1523.6227305728744,1500.0,1467.6401628736862,1500.0,1500.0,1500.0,1523.736308933665,1500.0,1500.0,1500.0,1500.0,1493.2654838931967,1500.0,1500.0,1484.287787044503,1500.0,1500.0,1500.0,1541.3764718073512,1500.0,1500.0,1500.0,1500.0,1500.0,1467.2011494637939,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1525.712212955497,1500.0,1500.0,1523.6227305728744,1546.3772694271256,1500.0,1500.0,1500.0,1529.1761199633318,1500.0
1/5/2020,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1586.1752361051279,1500.0,1500.0,1475.745631942001,1500.0,1500.0,1463.6227305728744,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1467.5340909026775,1500.0,1544.254368057999,1500.0,1467.6401628736862,1500.0,1500.0,1500.0,1492.9191171279892,1500.0,1500.0,1500.0,1500.0,1493.2654838931967,1500.0,1500.0,1484.287787044503,1500.0,1500.0,1500.0,1522.552219261966,1500.0,1528.8242525453852,1500.0,1500.0,1500.0,1467.2011494637939,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1543.02926251404,1500.0,1500.0,1523.6227305728744,1588.8431785244481,1500.0,1500.0,1500.0,1529.1761199633318,1500.0
1/6/2020,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1586.1752361051279,1500.0,1500.0,1475.745631942001,1500.0,1500.0,1463.6227305728744,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1467.5340909026775,1500.0,1544.254368057999,1500.0,1467.6401628736862,1500.0,1500.0,1500.0,1492.9191171279892,1500.0,1500.0,1500.0,1500.0,1493.2654838931967,1500.0,1500.0,1484.287787044503,1500.0,1500.0,1500.0,1522.552219261966,1500.0,1528.8242525453852,1500.0,1519.1957594557666,1500.0,1467.2011494637939,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1543.02926251404,1500.0,1500.0,1523.6227305728744,1588.8431785244481,1500.0,1500.0,1500.0,1529.1761199633318,1500.0
1/7/2020,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1586.1752361051279,1500.0,1500.0,1475.745631942001,1519.2479079743405,1500.0,1463.6227305728744,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1467.5340909026775,1500.0,1544.254368057999,1500.0,1467.6401628736862,1500.0,1500.0,1500.0,1492.9191171279892,1500.0,1500.0,1500.0,1500.0,1493.2654838931967,1500.0,1500.0,1484.287787044503,1500.0,1500.0,1500.0,1522.552219261966,1500.0,1528.8242525453852,1500.0,1519.1957594557666,1500.0,1447.8711917133369,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1543.02926251404,1500.0,1500.0,1523.6227305728744,1618.1731362749051,1500.0,1500.0,1500.0,1529.1761199633318,1500.0
1/8/2020,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1586.1752361051279,1500.0,1500.0,1475.745631942001,1519.2479079743405,1500.0,1463.6227305728744,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1467.5340909026775,1500.0,1544.254368057999,1500.0,1467.6401628736862,1500.0,1500.0,1500.0,1492.9191171279892,1500.0,1500.0,1500.0,1525.2901948593155,1493.2654838931967,1500.0,1500.0,1484.287787044503,1500.0,1500.0,1500.0,1522.552219261966,1500.0,1549.6155208632013,1500.0,1519.1957594557666,1500.0,1447.8711917133369,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1543.02926251404,1500.0,1500.0,1523.6227305728744,1618.1731362749051,1500.0,1500.0,1484.7098051406845,1529.1761199633318,1500.0
1/9/2020,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1586.1752361051279,1500.0,1500.0,1475.745631942001,1519.2479079743405,1500.0,1463.6227305728744,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1467.5340909026775,1500.0,1544.254368057999,1500.0,1514.6214044581016,1500.0,1500.0,1500.0,1492.9191171279892,1500.0,1500.0,1500.0,1525.2901948593155,1493.2654838931967,1500.0,1500.0,1484.287787044503,1500.0,1500.0,1500.0,1522.552219261966,1500.0,1549.6155208632013,1500.0,1519.1957594557666,1500.0,1447.8711917133369,1500.0,1500.0,1500.0,1500.0,1500.0,1533.9138567340922,1500.0,1500.0,1519.1154057799479,1500.0,1463.0187584155847,1523.6227305728744,1618.1731362749051,1500.0,1500.0,1484.7098051406845,1529.1761199633318,1500.0
1/10/2020,1500.0,1500.0,1500.0,1500.0,1533.870514409517,1500.0,1586.1752361051279,1500.0,1500.0,1475.745631942001,1501.8963444354767,1471.1783777166272,1463.6227305728744,1500.0,1500.0,1489.9110501356906,1500.0,1500.0,1500.0,1500.0,1480.0,1467.5340909026775,1530.0,1564.3433179223084,1500.0,1514.6214044581016,1500.0,1521.1210192049816,1500.0,1535.1080750529886,1463.5988096929757,1500.0,1500.0,1525.2901948593155,1473.5289668792914,1500.0,1538.8216222833728,1484.287787044503,1500.0,1500.0,1500.0,1522.552219261966,1500.0,1574.0090544633267,1500.0,1519.1957594557666,1500.0,1447.8711917133369,1500.0,1500.0,1500.0,1500.0,1500.0,1519.5203231339667,1500.0,1500.0,1519.1154057799479,1500.0,1463.0187584155847,1491.433772647875,1618.1731362749051,1527.3515635388637,1529.7365170139053,1531.1109954477088,1529.1761199633318,1500.0
